0,Unnamed: 0,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,Protein,fiber,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,supplier,Region of origin,deposit,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Freshness guarantee (minimum),Refrigerated (+2 to +7°C) best before,Characteristics,Country of origin,Information about the offer,storage,May contain traces of,drained weight,of it strength,Description,Note on the freshness guarantee,Monounsaturated fatty acids,Insert currywurst slices,gross weight,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Notice,thereof polyols,Polyunsaturated fatty acids
215,215,HOFMANNs Kaiserschmarren with roasted plums,"8,49€","Our classic: Homemade Kaiserschmarren with fruity roasted plums. , Hofmann Menu-Manufaktur GmbH has provided the above information.",https://oda.com//de/products/59469-hofmanns-hofmanns-kaiserschmarren-mit-zwetschkenro/,https://bilder.kolonial.no/local_products/35d91c0c-222d-44a3-9e61-79cfc7c2dc9b.jpg?auto=format&fit=max&w=1000&s=8401da5f1ab2aeab98f60028d6c978af,0.31 g,4.96 g,in,18 g,24.98 g,in,5 g,703 kJ / 167 kcal,"Hofmann Menu-Manufaktur GmbH, Adelbert-Hofmann-Strasse 6, 97944 Boxberg, Germany",Deutschland,in,"Plums, hen's egg, partially skimmed milk 1.5% fat, wheat flour, sugar, powdered sugar, rapeseed oil, modified starch, iodized salt, baking powder (diphosphate acidifier, sodium bicarbonate raising agent, starch), cinnamon, dextrose, vanilla extract, vanilla seeds, natural lemon flavor, Spices.",480 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,Frozen products Store at -18°C or below. Do not freeze again after defrosting.,in,in,in,in,in,in,in,in,in,in,in,in
216,216,Tressbrüder Demeter pumpkin and coconut soup,"3,49€","Tress Brothers Organic Pumpkin Coconut Soup 450ml , Tress Lebensmittel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/60107-tressbruder-tressbruder-demeter-kurbis-kokos-suppe/,https://bilder.kolonial.no/local_products/51da82da-9989-4748-b206-2b6bbb6ce599.jpg?auto=format&fit=max&w=707&s=6ff4a6c86889466ed6113168da2c0392,0.71 g,0.90 g,1.30 g,2.30 g,5.80 g,3.20 g,3.60 g,260 kJ / 62 kcal,"Tress Lebensmittel GmbH & Co. KG, Steinhecke 1, 88529 Zwiefalten",Deutschland,in,"Water, pumpkin** (25%), coconut milk* (19%) [coconut extract*, water], potatoes**, apple juice**, carrots**, onions**, CELERY**, corn starch*, rock salt, ginger* , spices*, lime juice*.
*) from controlled organic cultivation
**) from controlled Demeter agriculture (percentage Demeter share 71%)
May contain traces of gluten, nuts, peanuts, mustard and soy.",450 Milliliter,daily,Fast kitchen,Hearty ready meals,oda,in,in,Bio-Product,in,in,in,"Peanuts, Soybeans, Tree Nuts, Mustard.",in,in,in,in,in,in,in,in,in,in,in
217,217,Sonnen Bassermann My Königsberger meatballs,"3,29€","Fancy a fine Sunday feast even during the week? With the Königsberger Klopsen that's no problem at all. We serve the fine minced meatballs in a spicy, creamy caper sauce with rice and fine peas and carrots. There is no faster way to prepare Sunday lunch. Without dyes. Without aromas. , Struik Foods Germany has provided the above information.",https://oda.com//de/products/44363-sonnen-bassermann-sonnen-bassermann-meine-konigsbe/,https://bilder.kolonial.no/local_products/c352b0d0-8802-4ba7-aa01-a86ed487716b.jpg?auto=format&fit=max&w=1000&s=fbd8976d645fff123755669ddc038836,0.77 g,3.80 g,in,1.10 g,1.10 g,4.60 g,4.60 g,508 kJ / 121 kcal,"Struik Foods Germany, Clara-Zetkin-Strasse 8-15, 14547 Beelitz, Germany",Deutschland,in,"Water, rice preparation, cooked (27%) (water, long grain rice, salt, rapeseed oil, thickener (guar gum), emulsifier (sunflower lecithin), rice flour, acid (citric acid), antioxidant (ascorbic acid), dextrose), pork meatballs (16%) (pork , partly finely chopped, water, potato starch, table salt, onions, spice extracts), peas (6%), carrots (5%), rapeseed oil, capers (0.9%), modified starch, sunflower oil, sugar, table salt, Protein-enriched WHEY powder, emulsifier (mono- and diacetyl tartaric acid esters of mono- and diglycerides of fatty acids), thickener (E466, guar gum), parsley, spirit vinegar, glucose syrup, yeast extract, MILK PROTEIN, spices, antioxidant (ascorbic acid).
May contain traces of mustard, gluten, celery and egg.",480 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
218,218,Frosta Onion Cream Chicken Pan,"4,69€","Onion cream chicken 500g , Frosta Tiefkuehlkost GmbH has provided the above information.",https://oda.com//de/products/48151-frosta-frosta-zwiebel-sahne-hahnchen-pfanne/,https://bilder.kolonial.no/local_products/7ff9e7e0-4775-456f-b39d-431464c6ae9b.jpg?auto=format&fit=max&w=985&s=531b31262a85287527bfaf062cae7ead,0.95 g,6 g,1.20 g,1.90 g,12.30 g,2.90 g,4.80 g,498 kJ / 119 kcal,"Frosta Tiefkuehlkost GmbH, PO Box 29 03 64, DE 27533 Bremerhaven, Germany",in,in,"cooked spaetzle (35%) (water, durum wheat semolina, hen's egg, salt), red onions (13%), marinated, cooked chicken breast (12%) (chicken breast (for AT: chicken breast), salt, soybean oil, dextrose), water, onions (10%), CREAM (7%) (for AT: RAHM), CRÈME FRAÎCHE, leek, WHOLE MILK, salt, chicken fat, potato starch, rice starch, vegetable stock (carrots, onions, leeks, salt, water, extra virgin olive oil), coriander , nutmeg, cayenne pepper.
We process many other products in our company. Therefore, this dish may contain traces of barley, rye, oats, crustaceans, fish, soy, celery, mustard and molluscs.",500 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,Deutschland,in,Frozen products Store at -18°C or below. Do not freeze again after defrosting.,in,in,in,in,in,in,in,in,in,in,in,in
219,219,Tressbrüder Demeter Lentil Curry Soup,"3,49€","Tress Brüder Organic Lentils Curry Soup 450ml , Tress Lebensmittel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/60105-tressbruder-tressbruder-demeter-linsen-curry-suppe/,https://bilder.kolonial.no/local_products/a6290daa-f53c-455c-a10b-7e3fab0f7c62.jpg?auto=format&fit=max&w=707&s=13876431abe2d70bdcdd1357bd966af5,0.80 g,4.40 g,2.30 g,2.20 g,10 g,0.20 g,1.60 g,329 kJ / 78 kcal,"Tress Lebensmittel GmbH & Co. KG, Steinhecke 1, 88529 Zwiefalten",Deutschland,in,"Water, lentils** (15%), carrots**, leeks**, paprika**, apple cider vinegar**, sunflower oil**, corn starch*, rock salt, beet sugar**, curry* (0.4%), spices* .
*) from controlled organic cultivation
**) from controlled Demeter agriculture (percentage Demeter share 95%)
May contain traces of gluten, nuts, peanuts, celery, mustard and soy.",450 Milliliter,daily,Fast kitchen,Hearty ready meals,oda,in,in,Bio-Product,in,in,in,"Peanuts, Soybeans, Tree Nuts, Celery, Mustard.",in,in,in,in,in,in,in,in,in,in,in
220,220,Buss leisure maker Cevapcici,"1,79€","Spicy minced meat rolls with Balkan vegetables and rice. , Buss Ready Meals GmbH has provided the above information.",https://oda.com//de/products/42691-buss-buss-freizeitmacher-cevapcici/,https://bilder.kolonial.no/local_products/73ea61bc-13cf-46d3-8c87-37b01cf7e7a1.jpg?auto=format&fit=max&w=732&s=f3aa3943ddedb120fbf9e7096fa5e2cc,1.10 g,7.40 g,in,1.60 g,13.50 g,2.80 g,8 g,671 kJ / 160 kcal,"Buss Ready Meals GmbH, Am Damm 26, 28870, Ottersberg",Deutschland,in,"33% minced meat rolls (partly finely minced pork, water, spices (contain MUSTARD), salt, glucose syrup, dextrose), 27% vegetables in variable proportions (peppers, onions, corn, green beans, peas, carrots), 22% Rice, tomato paste, rapeseed oil, spices (contain CELERY, MUSTARD), thickener: guar gum, WHEAT FLOUR, CHICKEN EGG WHITE, salt, SKIMMED MILK POWDER. May contain traces of SOYA.",300 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
221,221,Frosta creamy slices with spaetzle,"3,49€","Sliced ​​cream with spaetzle 375g , Frosta Tiefkuehlkost GmbH has provided the above information.",https://oda.com//de/products/48152-frosta-frosta-rahmgeschnetzeltes-mit-spatzle/,https://bilder.kolonial.no/local_products/73a241c7-6acc-4af6-b58b-e5ed46bfd5b0.jpg?auto=format&fit=max&w=985&s=7194883d87f167698a1d12dc17dfa243,1.16 g,6.70 g,1.50 g,1 g,12.90 g,1.50 g,2.60 g,441 kJ / 105 kcal,"Frosta Tiefkuehlkost GmbH, PO Box 29 03 64, DE 27533 Bremerhaven, Germany",in,in,"cooked egg spaetzle (41%) (water, DURUM WHEAT, EGG, salt), mushrooms, water, marinated, cooked chicken breast (12%) (chicken breast (for AT: chicken breast), salt, soybean oil, dextrose), peas, CREAM (5% ) (for AT: RAHM), spring onions, WHOLE MILK, salt, tomato paste (for AT: 28% twice concentrated), chives, beef stock (water, concentrated beef jus, beef, veal bones, salt, beef fat, carrots, onions, leeks, garlic) , potato starch, BUTTER, garlic, ground paprika, black pepper

We process many other products in our company. Therefore, this dish may contain traces of barley, rye, oats, crustaceans, fish, soy, celery, mustard and molluscs.",375 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,Deutschland,in,Frozen products Store at -18°C or below. Do not freeze again after defrosting.,in,in,in,in,in,in,in,in,in,in,in,in
222,222,Tressbrüder Demeter tomato and basil soup,"3,49€","Tress Brüder Organic Tomato Basil Soup 450ml , Tress Lebensmittel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/60106-tressbruder-tressbruder-demeter-tomaten-basilikum/,https://bilder.kolonial.no/local_products/f90d6d42-1819-410b-994e-388c6d2142cc.jpg?auto=format&fit=max&w=707&s=6e709911152c3bb52cd237709c721f87,1 g,1.10 g,1.90 g,4.90 g,7.20 g,0.10 g,0.90 g,196 kJ / 47 kcal,"Tress Lebensmittel GmbH & Co. KG, Steinhecke 1, 88529 Zwiefalten",Deutschland,in,"Water, tomatoes** (33%), tomato paste** (12%), paprika**, beet sugar**, corn starch*, rock salt, sunflower oil**, basil* (0.7%), ginger*, garlic powder*, Herbs*.
*) from controlled organic cultivation
**) from controlled Demeter agriculture (percentage Demeter share 95%)
May contain traces of gluten, nuts, peanuts, celery, mustard and soy.",450 Milliliter,daily,Fast kitchen,Hearty ready meals,oda,in,in,Bio-Product,in,in,in,"Peanuts, Soybeans, Tree Nuts, Celery, Mustard.",in,in,in,in,in,in,in,in,in,in,in
223,223,Buss Freizeitmacher green cabbage with mettwurst,"1,65€","With tasty Mettenden. Suitable for microwave. Prepared traditionally, not only for the cold season, with spicy Mettenden and potatoes. , Buss Ready Meals GmbH has provided the above information.",https://oda.com//de/products/45727-buss-buss-freizeitmacher-grunkohl-mit-mettwurst/,https://bilder.kolonial.no/local_products/ea1939c7-564a-4ca9-8da2-2b61a38eeac5.jpg?auto=format&fit=max&w=731&s=bebb602c38877041a43dd2ee01b46aa8,1.20 g,4.80 g,in,1.30 g,1.30 g,6.60 g,6.60 g,445 kJ / 106 kcal,"Buss Ready Meals GmbH, Am Damm 26, 28870 Ottersberg, Germany",Deutschland,in,"50% kale, potatoes, 13.3% Mettenden (pork, salt, spices (contain MUSTARD), smoke), water, onions, smoked bacon (pork belly, salt, dextrose, spices, smoke), lard, WHEAT FLOUR, OATGROAT, salt , sugar, rapeseed oil, flavorings (contain EGG, MILK, CELERY), smoke flavoring, thickener guar gum, spices (contain MUSTARD). The product may contain traces of SOY.",300 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
224,224,Lasagna Bolognese every day,"3,99€","Pasta sheets layered with ground beef sauce and béchamel cheese sauce. Ready to cook. Without the addition of flavor enhancers and preservatives. , Zentrale Handelsgesellschaft- ZHG-mbH has provided the above information.",https://oda.com//de/products/47856-jeden-tag-jeden-tag-lasagne-bolognese/,https://bilder.kolonial.no/local_products/3ee2a786-7cb9-4b1b-b83a-d78118a01e36.jpg?auto=format&fit=max&w=1000&s=cd142c714874bd01a13666be13b78e30,1 g,5.70 g,in,2.70 g,12 g,2.60 g,6.60 g,562 kJ / 134 kcal,"Central trading company - ZHG-mbH, Hanns-Martin-Schleyer Str. 2, 77656 Offenburg, Germany",in,in,"Water, 23% pork, tomato paste twice concentrated, DURUM WHEAT, 6% cheese, 4% onion, pasteurized MILK, modified starch, WHEAT FLOUR, herbs, SKIMMED MILK POWDER, salt, WHEY POWDER, coconut oil, spices, WHOLE EGG POWDER.",1000 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
225,225,Frosta Veggie Tortellini Cheese Cream,"4,65€","HFW Tortellini Cheese Cream 500g , Frosta Tiefkuehlkost GmbH has provided the above information.",https://oda.com//de/products/48153-frosta-frosta-veggie-tortellini-kase-sahne/,https://bilder.kolonial.no/local_products/1dc23796-f16f-4a65-b8a3-71e949640311.jpg?auto=format&fit=max&w=985&s=5221f5108c0bc74508e6debf069cdc36,0.93 g,4.30 g,1.40 g,1.90 g,11.40 g,4.50 g,7.70 g,563 kJ / 135 kcal,"Frosta Tiefkuehlkost GmbH, PO Box 29 03 64, DE 27533 Bremerhaven, Germany",in,in,"cooked tortellini (29%) (water, DURUM WHEAT, breadcrumbs (WHEAT FLOUR, salt, yeast), CHICKEN EGG, CREAM CHEESE, spinach, sunflower oil, salt, nutmeg), water, broccoli, WHOLE MILK, carrots, CREAM (10%) (for AT: CREAM), EDAMER CHEESE (3%), roux (WHEAT FLOUR, sunflower oil), BUTTER, CURK (for AT: POTS), salt, rice flour, potato starch, black pepper.
We process many other products in our company. Therefore, this dish may contain traces of barley, rye, oats, soy, celery and mustard.",500 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,Deutschland,in,Frozen products Store at -18°C or below. Do not freeze again after defrosting.,in,in,in,in,in,in,in,in,in,in,in,in
226,226,Buss Leisure Maker Jägertopf,"1,65€","Pasta with meatballs and mushrooms in gravy. A delicious combination of spirelli noodles, a rich mushroom sauce and seasoned pork meatballs. , Buss Ready Meals GmbH has provided the above information.",https://oda.com//de/products/43108-buss-buss-freizeitmacher-jagertopf/,https://bilder.kolonial.no/local_products/84a55a9a-1f03-457c-9564-a644c88d617f.jpg?auto=format&fit=max&w=732&s=32f53a613bdf879d82e6951caa2fbcb1,1.30 g,3.70 g,in,0.90 g,0.90 g,4.30 g,4.30 g,387 kJ / 92 kcal,"Buss Ready Meals GmbH, Am Damm 26, 28870 Ottersberg, Germany",Deutschland,in,"40% cooked pasta (water, DURUM WHEAT, EGG WHITE), 17% mushrooms, water, tomato paste, 9% cooked meatballs (partly finely chopped pork, breadcrumbs (WHEAT FLOUR, water, salt, yeast), modified starch, salt, spices (contain MUSTARD)), onions, CREAM, smoked pork belly (pork belly, salt, dextrose, stabilizer sodium nitrite, smoke), rapeseed oil, salt, thickener guar gum, emulsifier mono- and diglycerides of fatty acids, SKIMMED MILK POWDER, dextrose, modified starch, caramel sugar syrup, spices .",300 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
227,227,Frosta vegetable pan alla Mediterranea,"3,49€","Vegetable Pan alla Mediterranea 480g , Frosta Tiefkuehlkost GmbH has provided the above information.",https://oda.com//de/products/48154-frosta-frosta-gemusepfanne-alla-mediterranea/,https://bilder.kolonial.no/local_products/50f0c994-c3b2-497d-b089-476971e5f6e7.jpg?auto=format&fit=max&w=985&s=4a5f44fa4269bb71205ca8d30057014f,0.68 g,1.60 g,1.70 g,3.50 g,6.90 g,0.10 g,0.60 g,180 kJ / 43 kcal,"Frosta Tiefkuehlkost GmbH, PO Box 29 03 64, DE 27533 Bremerhaven, Germany",in,in,"red peppers, yellow courgettes, courgettes, fried potatoes (13%) (potatoes, sunflower oil, dextrose, salt), water, grilled aubergines (for AT: grilled eggplant), tomato paste (for AT: 28% double concentrated), basil, garlic , salt, sugar, ground paprika, black pepper

We process many other products in our company. Therefore, this product may contain traces of wheat, barley, rye, oats, crustaceans, eggs, fish, soy, milk, celery, mustard and molluscs.",480 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,Deutschland,in,Frozen products Store at -18°C or below. Do not freeze again after defrosting.,in,in,in,in,in,in,in,in,in,in,in,in
228,228,Fresheria pasta casserole pizzeria,"2,75€","This is where freshness comes to the table! Penne in a hearty seasoned tomato sauce with mushrooms, red bell pepper and spicy diced salami. Sprinkled with aromatic cheese. , Buss Ready Meals GmbH has provided the above information.",https://oda.com//de/products/55851-frischeria-frischeria-nudelauflauf-pizzeria/,https://bilder.kolonial.no/local_products/d6c533a1-4ab9-4e09-80e9-19d3d3bcf00f.jpg?auto=format&fit=max&w=747&s=6f068793cd5cc8c8d3845bd846c7eb7d,1 g,6.30 g,in,3.70 g,15 g,2.50 g,7.10 g,642 kJ / 153 kcal,"Buss Ready Meals GmbH, Am Damm 26, 28870 Ottersberg, Germany",Deutschland,in,"31% cooked pasta (water, DURUM WHEAT, EGG WHITE), 15% tomatoes, water, 9% salami (pork, iodised table salt (table salt, potassium iodate), dextrose, glucose syrup, spices (contain CELERY, MUSTARD), stabilizer sodium nitrite, spice extracts, smoke) , 7% tomato paste, 5% mushrooms, 5% grated cheese (CHEESE, starch), paprika, rapeseed oil, sugar, spices (contain CELERY, MUSTARD), modified starch, WHEAT FLOUR, EGG WHITE, SKIMMED MILK POWDER, salt, herbs. Sealed under protective athmosphere. The product may contain traces of SOYA!",400 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
229,229,Winger Chicken Pan,"2,49€","Chicken stir fry in a peppery sauce with long grain rice and tender vegetables. , Wingert Foods GmbH has provided the above information.",https://oda.com//de/products/43202-wingert-foods-wingert-hahnchenpfanne/,https://bilder.kolonial.no/local_products/69afbc33-6cdc-421f-80ba-9b595474783f.jpg?auto=format&fit=max&w=1000&s=44d2b51a3256f13ba854ccb46eb5f0f4,0.77 g,4.40 g,in,2.80 g,2.80 g,1.20 g,1.20 g,390 kJ / 93 kcal,"Wingert Foods GmbH, Neufelder Str. 22, 27472 Cuxhaven, Germany",Deutschland,in,"Water, rice preparation, cooked (28%) (water, long grain rice, rapeseed oil, thickener guar gum, emulsifier, sunflower lecithin, rice flour, table salt, acidifier citric acid, antioxidant ascorbic acid, dextrose), seasoned chicken meat preparation (15%) (chicken meat (90%), water , starch, table salt, dextrose), carrots (8%), peas (2%), modified starch, cream (COW'S MILK), tomato paste, CELERY, onions, sugar, table salt, spices, rapeseed oil, thickeners (cellulose gum, guar gum), parsley , mustard (water, MUSTARD SEEDS, brandy vinegar, table salt, spices), antioxidant ascorbic acid. Sealed under protective athmosphere. The product may contain traces of GLUTEN, EGG, SOY, PEANUTS, NUTS and FISH.",460 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
230,230,Meica Curry King XXL ready to go,"4,29€","CURRYKING XXL 400, Meica GmbH & Co. KG has provided the above information.",https://oda.com//de/products/43205-meica-meica-curryking-xxl-fix-fertig/,https://bilder.kolonial.no/local_products/d3a85f59-edab-4c57-b802-4bc86d9a28e5.jpg?auto=format&fit=max&w=1000&s=8564c128cfe4b815ea148abc1e2758ac,1.60 g,8 g,in,13 g,13 g,5.20 g,14 g,875 kJ / 210 kcal,"Meica GmbH & Co. KG, Meicastrasse 6, 26188 Edewecht, Germany",Deutschland,in,"50% bockwurst [pork, drinking water, bacon, salt, spices, spice extracts (with CELERY), dextrose, antioxidant: ascorbic acid, preservative: sodium nitrite, smoke], curry sauce [drinking water, tomato paste, sugar, vinegar, apple pulp, modified starch, salt, spices, thickening agent: guar gum, locust bean gum], curry powder (in an extra sachet). May contain traces of MILK PROTEIN, MUSTARD",200 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,"milk, mustard.",in,in,in,in,in,200g,400g,in,in,in,in
231,231,Frosta Vegetable Pan Style Asia Curry,"3,49€","Vegetable Pan Style Asia Curry , Frosta Tiefkuehlkost GmbH provided the above information.",https://oda.com//de/products/48155-frosta-frosta-gemusepfanne-style-asia-curry/,https://bilder.kolonial.no/local_products/c892dc93-6d7c-44e2-94f7-52c27d1aaac5.jpg?auto=format&fit=max&w=1000&s=b58660c343e2219b75cad1922d8b4e29,0.77 g,1.90 g,2.30 g,3.40 g,6.10 g,1.30 g,2.30 g,240 kJ / 57 kcal,"Frosta Tiefkuehlkost GmbH, PO Box 29 03 64, DE 27533 Bremerhaven, Germany",in,in,"Cauliflower (for AT: cauliflower), water, carrots, mung bean sprouts, yellow carrots, peas, red peppers, WHOLE MILK, sugar snap peas, coconut milk (coconut, water), salt, sunflower oil, candied ginger (ginger, water, sugar), sugar, curry (ground paprika, fennel, MUSTARD SEED, cumin, ginger, coriander, turmeric), garlic, potato starch, rice starch, coriander leaves

We process many other products in our company. Therefore, this product may contain traces of wheat, barley, rye, oats, crustaceans, eggs, fish, soy, celery and molluscs.",480 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,Deutschland,in,Frozen products Store at -18°C or below. Do not freeze again after defrosting.,in,in,in,in,in,in,in,in,in,in,in,in
232,232,Wingert chicken fricassee,"2,49€","Chicken fricassee with long grain rice and a fine vegetable mix of peas, carrots and asparagus. , Wingert Foods GmbH has provided the above information.",https://oda.com//de/products/43817-wingert-foods-wingert-huhnerfrikassee/,https://bilder.kolonial.no/local_products/33f35bf3-588d-4325-b80a-b3676263c7a6.jpg?auto=format&fit=max&w=1000&s=82aeb954c2783c45fca8a5d50a0d850d,1.20 g,6.50 g,in,1.80 g,15 g,0.40 g,1.20 g,416 kJ / 99 kcal,"Wingert Foods GmbH, PO Box 249, 27452, Cuxhaven",in,in,"Rice preparation, cooked (27%) (water, long grain rice, salt, rapeseed oil, thickener guar gum, emulsifier sunflower lecithin, rice flour, acidifier citric acid, antioxidant ascorbic acid, dextrose), water, chicken meat (12.5%), peas (6%), carrots ( 5%), mushrooms (3%), chicken stock, modified starch, CREAM, asparagus (1.4%), sugar, table salt, acidity regulator calcium citrate, thickeners (cellulose gum, guar gum), rapeseed oil, spices (contains CELERY), MUSTARD (water , MUSTARD SEEDS, brandy vinegar, table salt, spices), antioxidant ascorbic acid. Sealed under protective athmosphere. The product may contain traces of GLUTEN, EGG, SOY, PEANUTS and FISH.",480 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
233,233,Meica Curryking Currywurst Ready & Ready,"2,59€","CURRYKING 220, Meica GmbH & Co. KG has provided the above information.",https://oda.com//de/products/44709-meica-meica-curryking-currywurst-fix-fertig/,https://bilder.kolonial.no/local_products/5d9c45eb-32d0-4ac4-ab71-75bd3547fdf0.jpg?auto=format&fit=max&w=1000&s=b99cd5e706fc62c8c49f4e98621e957a,1.60 g,8 g,in,12 g,12 g,5.50 g,15 g,895 kJ / 215 kcal,"Meica GmbH & Co. KG, Meicastrasse 6, 26188 Edewecht, Germany",Deutschland,in,"55% bockwurst [pork, drinking water, bacon, table salt, spices, spice extracts (with CELERY), dextrose, antioxidant: ascorbic acid, preservative: sodium nitrite, smoke], curry sauce [drinking water, tomato paste, sugar, vinegar, apple pulp, modified starch, salt, spices, thickeners: guar gum, locust bean gum], curry powder (extra sachet). May contain traces of MILK PROTEIN, MUSTARD",120 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,"milk, mustard.",in,in,in,in,in,120g,220g,in,in,in,in
234,234,Frosta Veggie Pappardelle Creme Spinach,"4,69€","HFW Pappardelle Creme Spinaci 500g , Frosta Tiefkuehlkost GmbH provided the above information.",https://oda.com//de/products/48156-frosta-frosta-veggie-pappardelle-creme-spinaci/,https://bilder.kolonial.no/local_products/6eecf703-a945-4756-a2dd-827e2da1f5bf.jpg?auto=format&fit=max&w=985&s=803ce123e1ca0bd463f6cd1eac35c042,1 g,4.50 g,1.40 g,1.40 g,15.50 g,2.80 g,4.70 g,525 kJ / 125 kcal,"Frosta Tiefkuehlkost GmbH, PO Box 29 03 64, DE 27533 Bremerhaven, Germany",in,in,"cooked tagliatelle (45%) (water, DURUM WHEAT semolina), cherry tomatoes (12%), water, leaf spinach (10%), CREAM (9%) (for AT: CREAM), WHOLE MILK, EDAMER (1.6%), salt, BUTTER, roux (WHEAT FLOUR, sunflower oil), wild garlic, CUDDLE (for AT: POTS), potato starch, rice flour, black pepper

We process many other products in our company. Therefore, this dish may contain traces of barley, rye, oats, crustaceans, fish, eggs, soy, celery, mustard and molluscs.",500 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,Deutschland,in,Frozen products Store at -18°C or below. Do not freeze again after defrosting.,in,in,in,in,in,in,in,in,in,in,in,in
235,235,Winger roast sausages,"2,49€","Grilled sausages in a strong, spicy sauce with mashed potatoes and wine sauerkraut. , Wingert Foods GmbH has provided the above information.",https://oda.com//de/products/44971-wingert-foods-wingert-rostbratwurstchen/,https://bilder.kolonial.no/local_products/033369ac-feb1-4664-8a7f-c9ee77303afe.jpg?auto=format&fit=max&w=1000&s=40bc50e0452b6d44e7b8a1792464a5cb,0.69 g,3.40 g,in,1.60 g,8.60 g,1.50 g,4.80 g,399 kJ / 95 kcal,"Wingert Foods GmbH, PO Box 249, 27452, Cuxhaven",in,in,"Mashed potatoes (35%) (water, potatoes, rapeseed oil, table salt, emulsifier mono- and diglycerides of fatty acids, stabilizer diphosphates, antioxidant (SODIUM METABISULPHITE, ascorbic acid), spices), sauerkraut (19%) (white cabbage, water, rapeseed oil, sugar, modified Starch, wine, table salt, thickeners (cellulose gum, guar gum), antioxidant ascorbic acid), grilled sausages (15%) (pork, table salt, spices, dextrose, herbs, rapeseed oil), mustard (water, MUSTARD SEEDS, brandy vinegar, table salt, spices), modified Starch, tomato paste, sugar, CELERY, onions, spices, thickeners (cellulose gum, guar gum), caramelized sugar, rapeseed oil, CREAM, table salt. Sealed under protective athmosphere. May contain traces of GLUTEN, EGG, SOY, PEANUTS, NUTS and FISH.",480 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in
236,236,Frosta Chicken Paella,"4,69€","Chicken Paella 500g , Frosta Tiefkuehlkost GmbH has provided the above information.",https://oda.com//de/products/48157-frosta-frosta-hahnchen-paella/,https://bilder.kolonial.no/local_products/74309c06-fde3-48ad-8b88-7a46449406cc.jpg?auto=format&fit=max&w=985&s=f7a18144623f9517b50c38ec1a50d2f2,1.21 g,5.90 g,1.30 g,2.10 g,12 g,0.50 g,2.90 g,422 kJ / 100 kcal,"Frosta Tiefkuehlkost GmbH, PO Box 29 03 64, DE 27533 Bremerhaven, Germany",in,in,"cooked rice (37%) (water, rice, salt, turmeric), marinated, cooked chicken breast (15%) (chicken breast (for AT: chicken breast), salt, soybean oil, dextrose), peas, red peppers, tomatoes, onions, green beans (for AT: beans), water, sunflower oil, salt, tomato paste (for AT: 28% twice concentrated), garlic, ground paprika, chicken stock (chicken carcasses (for AT: chicken carcasses), water, carrots, salt, onions, garlic), Sugar, Basil, Extra Virgin Olive Oil, Thyme, Vegetable Stock (Carrot, Onion, Leek, Salt, Water, Extra Virgin Olive Oil), Rice Starch, Black Pepper.
We process many other products in our company. Therefore, this dish may contain traces of wheat, barley, rye, oats, crustaceans, eggs, fish, soy, milk, celery, mustard and molluscs.",500 Gramm,daily,Fast kitchen,Hearty ready meals,oda,in,in,in,Deutschland,in,Frozen products Store at -18°C or below. Do not freeze again after defrosting.,in,in,in,in,in,in,in,in,in,in,in,in
