,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,storage,Characteristics,supplier,May contain traces of,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Salt,Protein,Sugar,carbohydrates,davon gesättigte Fatsäuren,Fat,calorific value,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Insert currywurst slices,gross weight,supplier,region of origin,May contain traces of,Bundesland,Herkunftsland,Haltungsstufe,Frischegarantie (mindestens),Beschreibung,Variable weight,Freshness guarantee (minimum),Description,Variables Gewicht,Verbrauchshinweis,Verpackungshinweis,Besonderheit,country of origin,posture level,storage,Characteristics,davon Stärke,mehrfach ungesättigte Fatsäuren,Einfach ungesättigte Fatsäuren,consumption note,Packing Notice,*,fiber,of it strength,thereof polyols,Polyunsaturated fatty acids,Monounsaturated fatty acids,Ursprungsland,Ballaststoffe,davon Polyole,Information about the offer,*Haltungsstufe,Zubereitungshinweis,Informationen zum Angebot,Preparation note,Zubereitungsempfehlung (gekühltes Produkt),Preparation recommendation (chilled product),Zubereitungsempfehlung,drained weight,sodium,Notice,Natrium,Backofen,Grill,"Bratpfanne, Pfanne",Zubereitungsempfehlungen,Herkunftsland der Aquakultur/Binnenfischerei,Lateinischer Name,Hinweis,Country of origin of aquaculture/inland fisheries,Inverkehrbringer,Abtropfgewicht,Latin name,Verbraucherhinweise,Hinweis zur Frischegarantie,Note on the freshness guarantee
375,Goldmarie nut ham ger,€2.39,"Nut ham, smoked. , Goldmarie Handelsgesellschaft mbH & Co.KG has provided the above information.",https://oda.com//de/products/55730-goldmarie-goldmarie-nuss-schinken-ger/,https://bilder.kolonial.no/local_products/c48fd9d9-7b02-4aaf-ad6f-69bb3f8bd2a3.jpg?auto=format&fit=max&w=667&s=a494dfef1bef8cf57f3c5c6173056c4f,5g,25g,0.90g,1.50g,1.80g,,,,,,,"Pork, table salt, dextrose, antioxidant: sodium ascorbate, spice extracts, preservative: sodium nitrite, beech wood smoke. Sealed under protective athmosphere.",90 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,4g,599kJ / 143kcal,,,,,,,"Goldmarie Handelsgesellschaft mbH & Co.KG, Johann-Bünting-Strasse 1 26845 Northmoor, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Smoked farmer's ham every day,€2.19,"Farmer's ham, smoked. , Windau Harsewinkel hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42387-jeden-tag-jeden-tag-bauernschinken-gerauchert/,https://bilder.kolonial.no/local_products/443fcaf4-784d-4eb9-a0ea-1fa7842a8dd9.jpg?auto=format&fit=max&w=829&s=fe31f2578e7a10099739ab64c6bb91d3,4.50g,21g,,,,15 g,929 kJ / 222 kcal,,,"Windau Harsewinkel, Rudolf-Diesel-Straße 2, 33428 Harsewinkel, Deutschland",Milch.,,,,"Meat, sausage & fish",Sausage & cold cuts,oda,,,0.50 g,0.50 g,15 g,,,,"95% Schweinefleisch, Speisesalz, Gewürze, Maltodextrin, Dextrose, Säureregulator: Natriumcitrate Antioxidationsmittel: Natriumascorbat Konservierungsstoff: Natriumnitrit Buchenholzrauch. Kann Spuren von SENF und MILCHEIWEIß enthalten. ",200 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Wiesbauer Sharp crackers cut,€1.99,"Finely sliced, classic crackers with spicy Peppadew for the roll or as a starter in vinegar and oil with a kick. Strong, meaty bite and fiery peppadew and fine spices result in the legendary taste. sealed under protective athmosphere , Wiesbauer Wurstspezialitaten GmbH has provided the above information.",https://oda.com//de/products/42826-wiesbauer-wiesbauer-scharfe-knacker-geschnitten/,https://bilder.kolonial.no/local_products/32e32d26-894b-452a-9e91-199d997301a4.jpg?auto=format&fit=max&w=838&s=af4afe76930977a99e518acd7f356890,2.50g,12g,0.60g,2.90g,7.40g,,,,,,,"Pork (72%), bacon, drinking water, Peppadew (6.0%), chili, nitrite curing salt (table salt, preservative: sodium nitrite), potato starch, spices, spice extracts, seasoning, dextrose, sugar, antioxidant: ascorbic acid, sodium ascorbate; stabilizers: di-, tri-, polyphosphates; flavor enhancer: monosodium glutamate; aroma, smoke.",100 gram,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,19g,956kJ / 231kcal,,,,,,,"Wiesbauer Wurstspezialitaten GmbH, Laxenburger Strasse 256, 1230 Vienna, Austria",,,,,,,,,6 days,,,,,,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Fumagalli orig. Italian Salami Milano,€1.95,"Salami Milano. Fumagalli Selection. , Fumagalli Ind. Alimentari has provided the above information.",https://oda.com//de/products/45543-fumagalli-fumagalli-orig-ital-salami-milano/,https://bilder.kolonial.no/local_products/494f7761-bc0e-440d-9e4e-e935a06f06fa.jpg?auto=format&fit=max&w=465&s=db5c2c00fe1ca1217a86ac37818e6601,3.45g,24.60g,0.60g,0.60g,29.60g,,,,,,,"Pork, Salt, Wine, Dextrose, Spices, Antioxidants: Sodium Ascorbate, Ascorbic Acid. Preservatives: potassium nitrate, sodium nitrite. Sealed under protective athmosphere.",50 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,29.60g,1542kJ / 369kcal,,,,,,,"Fumagalli Ind. Alimentari, Via Briantea, 18, 22038 Tavernerio (CO) Italy",Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Coast Gold Wiener Sausages 4x80g,€3.09,"Wiener sausages. , BE Markenhandel GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46082-kustengold-kustengold-wiener-wurstchen-4x80g/,https://bilder.kolonial.no/local_products/22193098-64d7-477b-bc3b-8b27b5814f0e.jpg?auto=format&fit=max&w=667&s=4238fadd1e2b8e886e397c3f578e7bc0,1.70g,13g,0.60g,0.60g,25g,,,,,,,"89%  pork,  drinking water,  table salt,  spices,  dextrose,  stabilizer:  diphosphates;  antioxidant:  ascorbic acid;  preservative:  sodium nitrite;  Sheep casing,  beech wood smoke.  Packed in  a protective atmosphere  .  May contain  traces  of  GLUTEN , LACTOSE , MUSTARD , CELERY and PISTACHIOS .       ",320 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,25g,1133kJ / 271kcal,,,,,,,"BE Markenhandel GmbH & Co. KG, Johann-Bünting-Str. 1, 26845 Northmoor, Germany",Germany,,,,,,,,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Handl Tyrol Milde Tyrolini XXL,€2.75,"Whether at school, as a snack in the office, or just when you feel like something hearty, the Tyrolini XXL from Handl Tyrol are the ideal snack in between. Sealed under protective athmosphere. Without the addition of flavor enhancers , Karl Handl GmbH Germany 2.0 has provided the above information.",https://oda.com//de/products/51649-handl-handl-tyrol-milde-tyrolini-xxl/,https://bilder.kolonial.no/local_products/4c63ce2f-532c-479c-a911-8910686647b1.jpg?auto=format&fit=max&w=256&s=678927ce40f5884dd4e595d7f3459e03,4.50g,30g,0.50g,0.50g,17g,,,,,,,"Pork, Bacon, Table Salt, Spices, Honey, Dextrose, Antioxidant: Sodium Ascorbate; spice extracts, stabilizer: polyphosphates; preservative: sodium nitrite; Ripening cultures, edible sausage casing (coating agent: sodium alginate; modified starch, firming agent: calcium chloride). 100g mild Tyrolini are made from 180g pork.",80 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,42g,2073kJ / 500kcal,,,,,,,"Karl Handl GmbH Germany 2.0, Via Damm 3, I - 39025 Naturns (BZ), Italy",Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Stockmeyer Onion Salami Sweet Onion,€2.85,"Sto.Zwiebelsalami 150g gegef.atmo Sweet Onion , Westfälische Fleischwarenfabrik Stockmeyer GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42792-stockmeyer-stockmeyer-zwiebelsalami-sweet-onion/,https://bilder.kolonial.no/local_products/7eac3893-bc0e-4161-b4e6-448caed4746d.jpg?auto=format&fit=max&w=459&s=b0b7c5a63ae5950d69b9f195c20b6c88,,,,,,25 g,1302 kJ / 314 kcal,,,"Westfälische Fleischwarenfabrik Stockmeyer GmbH, Stockmeyer-Straße 1, 48336 Sassenberg, Deutschland","Milch, Nüssen, Senf.",,,,"Meat, sausage & fish",Sausage & cold cuts,oda,4 g,21.20 g,1 g,1 g,11 g,,,Deutschland,"95 % Salami (Schweinefleisch, Speisesalz, Traubenzucker, Gewürze, Aroma, Hefeextrakt, Antioxidationsmittel: Natriumascorbat, Ascorbinsäure; Farbstoff: Echtes Karmin; Konservierungsstoff: Natriumnitrit; Kaliumiodat, Reifekulturen, Rauch), 5 % Zwiebel-Ummantelung (60 % Zwiebeln geröstet, Speisegelatine (Schwein), Aroma). 100 g Salami werden hergestellt aus 121 g Schweinefleisch. Kann Spuren von HASELNÜSSEN, MANDELN, WALNÜSSEN, MILCH und SENF enthalten. ",150 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Wiesbauer Knacker cut,€1.89,"Fein aufgeschnittene, klassische Knacker für’s Brötchen oder für die klassische Vorspeise in Essig und Öl. Kräftiger, fleischiger Biss und feine Gewürze ergeben den legendären Geschmack.

Unter Schutzatmosphäre verpackt. , Wiesbauer Wurstspezialitaten GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43170-wiesbauer-wiesbauer-knacker-geschnitten/,https://bilder.kolonial.no/local_products/c12f1eb1-c151-42c9-a7ad-8f2a488f7600.jpg?auto=format&fit=max&w=850&s=26417b1477bd24363b829528a5ead30b,2.50g,12g,0.50g,2.50g,7.40g,,,,,"Wiesbauer Wurstspezialitaten GmbH, Laxenburger Strasse 256, 1230 Vienna, Austria",,,,,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,19g,950kJ / 229kcal,,"Schweinefleisch (71%), Speck, Trinkwasser, Nitritpökelsalz (Speisesalz, Konservierungsstoff: Natriumnitrit), Kartoffelstärke, Gewürze, Gewürzextrakte, Speisewürze, Dextrose, Zucker, Antioxidationsmittel: Ascorbinsäure, Natriumascorbat; Stabilisatoren: Di-, Tri-, Polyphosphate; Geschmacksverstärker: Mono-Natriumglutamat; Aroma, Rauch.",100 Gramm,täglich,,,,,,,,,6 Tage,,,,,,,,,,,,,,,,,,,,,,,,Österreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Back-cooked ham every day,€1.79,"Delicacy back-cooked ham. , Central trading company ZHG mbH Food has provided the above information.",https://oda.com//de/products/43453-jeden-tag-jeden-tag-hinter-kochschinken/,https://bilder.kolonial.no/local_products/bc5cfad4-3ce1-460c-9c76-813c381f64f7.jpg?auto=format&fit=max&w=856&s=27c950aae3c5e27a34c6280a6fcd4016,2.20g,20g,,,2g,,,,,,,"Pork, iodized table salt (table salt, potassium iodate), dextrose, stabilizer: triphosphates, antioxidant: sodium ascorbate, preservative: sodium nitrite. Sealed under protective athmosphere.",200 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,2g,435kJ / 104kcal,,,,,,,"Central trading company ZHG mbH Food, Hanns-Martin-Schleyer-Strasse 2, 77656 Offenburg, Germany",,,,,,,,,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Gutfried chicken salami,€2.09,"With turkey meat and vegetable fat, smoked and mildly spicy. Guaranteed fresh taste of Germany's most popular poultry sausage. Without flavor enhancers, gluten and lactose. , Gutfried GmbH has provided the above information.",https://oda.com//de/products/44063-gutfried-gutfried-hahnchen-salami/,https://bilder.kolonial.no/local_products/76e34925-7026-4ca1-a027-a6049346c76d.jpg?auto=format&fit=max&w=667&s=c79e0398ec0e283c387b4f1d73e54e20,3.70g,23g,0.50g,0.50g,21g,,1185kJ / 283kcal,,,"Gutfried GmbH, Gewerbestraße 1, 24860 Böklund, Deutschland",,"Hähnchenfleisch 63g, Putenfleisch 57g, PflanzenFat (PalmFat), ungehärtet *MB 12g, Speisesalz, Gewürze (u. a. SENF), Gewürzextrakte, Dextrose, färbendes Lebensmittel: Rote Beete-Pulver, Antioxidationsmittel: Natriumascorbat, Konservierungsstoff: Natriumnitrit, Reifekulturen, Buchenholzrauch. Unter Schutzatmosphäre verpackt. Kann Spuren von SELLERIE enthalten. ",100 gram,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,21g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,BIO COMPANY Organic ham sausage,€3.99,"Traditionally made ham sausage made from German pork in a can, without gelling agents. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52522-bio-company-bio-company-bio-schinkenwurst/,https://bilder.kolonial.no/local_products/ba445322-0d5d-4ea7-bb89-0762b6ba61d3.jpg?auto=format&fit=max&w=450&s=e99e2e7df2885628265f1eaf5b003407,2.10g,12.60g,0.50g,0.90g,,,,,,,,"Pork* 80%, pork bacon*, drinking water, rock salt, spices*, beet sugar*, preservative: sodium nitrite",200 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,24.60g,1140kJ / 275kcal,,,,,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,200 grams,,,,,,,,,,,,,,,,,
386,Every day Jagdwurst,€1.39,"Jagdwurst. , Goldschmaus Natur GmbH & Co. KG has provided the above information.",https://oda.com//de/products/45790-jeden-tag-jeden-tag-jagdwurst/,https://bilder.kolonial.no/local_products/e4d9ec0a-177a-4f01-a132-6e0d39d8148a.jpg?auto=format&fit=max&w=1000&s=fb7d64db8ff19b170bcd7346becf743b,2.50g,12g,,,25g,,,,,,,"80% Schweinefleisch, Trinkwasser, Speisesalz, Glukosesirup, Säureregulatoren: Trinatriumcitrat, Natriumacetat, Natriumlactat, Calciumlactat, Diphosphate; Würze (hydrolysiertes Pflanzeneiweiß), Dextrose, Gewürze (u. a. SENF), Gewürzextrakte, Konservierungsstoff: Natriumnitrit; Antioxidationsmittel: Ascorbinsäure, Natriumascorbat; Farbstoff: Echtes Karmin; Aromen. Unter Schutzatmosphäre verpackt. Kann Spuren von PISTAZIEN enthalten. ",200 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,25g,1147kJ / 274kcal,Germany,,,,,,"Goldschmaus Natur GmbH & Co. KG, Industriestrasse 10-12, 49681 Garrel, Germany",,,,,,,,,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Coastal gold curry bockwurst past,€2.99,"Curry Bockwurst for grill and pan. Smoked over beech wood. , Goldschmaus Natur GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46269-kustengold-kustengold-curry-bockwurst-past/,https://bilder.kolonial.no/local_products/c415db27-7c3f-488c-9d3a-3a1ec7a55a52.jpg?auto=format&fit=max&w=495&s=0f5c07a2877a556913e2b6b93df96409,2.10g,14g,,,26g,,,,,"Goldschmaus Natur GmbH & Co. KG, Industriestrasse 10-12, 49681 Garrel, Germany",,"89% Schweinefleisch, Trinkwasser, Speisesalz, Gewürze, Emulgator: Mono- und Diglyceride von SpeiseFatsäuren; Stabilisator: Triphosphat; hydrolysiertes Raps- und Maiseiweiß, Geschmacksverstärker: Mononatriumglutamat; Dextrose, Antioxidationsmittel: Natriumisoascorbat; ; Säuerungsmittel: Glucono-delta-Lacton; Konservierungsstoff: Natriumnitrit; Aroma, Buchenholzrauch. Kann Spuren von SENF, SELLERIE und PISTAZIEN enthalten. ",375 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,26g,1191kJ / 285kcal,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Gutfried turkey salami,€2.19,"The spicy turkey salami is suitable for every occasion. Whether on pizza or bread, it is pure enjoyment. , Gutfried GmbH has provided the above information.",https://oda.com//de/products/46568-gutfried-gutfried-puten-salami/,https://bilder.kolonial.no/local_products/b061ce7e-1c0e-452c-ba67-821656977792.jpg?auto=format&fit=max&w=667&s=cf1fc1d0bcf0889df4531f0fdfe8e244,3.70g,23g,0.50g,0.50g,22g,,,,,"Gutfried GmbH, Gewerbestrasse 1, 24860 Böklund, Germany",,"Putenfleisch, PalmFat, Speisesalz, Gewürze (enthält SENF), Gewürzextrakte, Dextrose, färbendes Lebensmittel: Rote Bete-Pulver, Antioxidationsmittel: Natriumascorbat, Konservierungsstoff: Natriumnitrit, Reifekulturen, Buchenholzrauch. 100 g Putensalami werden hergestellt aus 121 g Putenfleisch und 13 g PflanzenFat. Unter Schutzatmosphäre verpackt. Kann Spuren von Sellerie enthalten. ",100 gram,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,22g,1232kJ / 294kcal,,,,,,,,,,,,,,,,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,BIO COMPANY Organic Lyoner,€3.99,"Traditionally made Lyon sausage made from German pork in a can, without gelling agents. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52618-bio-company-bio-company-bio-lyoner/,https://bilder.kolonial.no/local_products/c3261a24-4cd5-499b-b625-ba568c4d864a.jpg?auto=format&fit=max&w=450&s=3b5c0cb6eac8cf6a1ee886bcff48db51,2.20g,11.20g,0.50g,0.70g,,,,,,,,"Pork* 74%, pork bacon*, drinking water, rock salt, spices*, beet sugar*, preservative: sodium nitrite",200 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,26g,1175kJ / 284kcal,,,,,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Gold Marie ham sausage,€1.29,"Ham sausage without gluten and lactose. , Goldmarie Handelsgesellschaft mbH & Co.KG has provided the above information.",https://oda.com//de/products/55723-goldmarie-goldmarie-schinkenwurst/,https://bilder.kolonial.no/local_products/70cb15cb-d4d2-43cc-adce-8db7ae8f6af2.jpg?auto=format&fit=max&w=667&s=6d9afb36577ea0e23953b49c39cf19b2,3.40g,11.60g,0.80g,1g,10.80g,,,,,,,"Pork (81%), drinking water, table salt, spices, spice extracts, seasoning, sugar, dextrose, stabilizer: diphosphates, antioxidant: ascorbic acid, acidity regulator: sodium acetate, preservative: sodium nitrite, coloring: real carmine, flavoring. Sealed under protective athmosphere.",90 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,27.60g,1228kJ / 293kcal,,,,,,,"Goldmarie Handelsgesellschaft mbH & Co.KG, Johann-Bünting-Strasse 1 26845 Northmoor, Germany",,,,,,,,,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Aoste ring salami air-dried,€5.99," , Campofrio Food Group Deutschland GmbH has provided the above information.",https://oda.com//de/products/45047-aoste-aoste-ringsalami-luftgetrocknet/,https://bilder.kolonial.no/local_products/b426172e-e9ec-4937-a5ac-76953f373fce.jpg?auto=format&fit=max&w=544&s=c542f8dc6ff21d13fbe5bec864fd7136,5g,26g,1.50g,2g,15g,,,,,"Campofrio Food Group Deutschland GmbH, Balcke-Dürr-Allee 2, 40882 Ratingen, Germany",,,,,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,37g,1845kJ / 445kcal,Frankreich,"Schweinefleisch, Salz, LAKTOSE, Dextrose, Zucker, Gewürze, Konservierungsstoffe: Kaliumnitrat, Natriumnitrit; Starterkulturen. Salami-Hülle nicht essbar. Bitte vor Verzehr entfernen. Kann Spuren von Schalenfrüchten und Milcheiweißen enthalten. 100 g Salami werden aus 160 g Schweinefleisch hergestellt. ",250 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Wiesenhof Bruzzzler Poultry Bratwurst,€4.99,"The Wiesenhof Bruzzzler original brings 100% flavor to the grill and stands for 100% poultry enjoyment. As a poultry bratwurst from Wiesenhof, the Bruzzzler is made only from German poultry and without the addition of flavor enhancers, artificial colors or gluten. , WIESENHOF poultry sausage made the above information available.",https://oda.com//de/products/46660-wiesenhof-wiesenhof-bruzzzler-geflugel-bratwurst/,https://bilder.kolonial.no/local_products/64442a46-4e8a-49d4-8a77-76405081386b.jpg?auto=format&fit=max&w=1000&s=7aac0c509e40b46761b0be70de0d2d43,2.10g,14g,0.50g,0.50g,19g,,,,,,,"882% poultry meat (turkey meat, chicken meat), drinking water, poultry fat with skin (chicken fat with skin, turkey fat with skin), iodised table salt (table salt, potassium iodate), dextrose, spices, stabilizers: sodium citrate, diphosphate; Flavors, sheep casing.",400 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,19g,958kJ / 229kcal,,,,,,,"WIESENHOF poultry sausage, Paul-Wesjohann-Strasse 45, D-49429 Visbek, Germany",,"gluten, milk.",,,,,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,BIO COMPANY organic beer ham,€3.99,"Traditionally made beer ham from German pork in a can, without gelling agents. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52816-bio-company-bio-company-bio-bierschinken/,https://bilder.kolonial.no/local_products/96aec8b0-38d5-474e-a429-725d859636da.jpg?auto=format&fit=max&w=450&s=347033c20a7264b1c8c83f712c5c772d,2g,17.90g,0.50g,0.70g,,,,,,,,"Pork* 90%, drinking water, rock salt, spices*, beet sugar*, preservative: sodium nitrite",200 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,12.30g,771kJ / 185kcal,,,,,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Goldmarie turkey breast fillet,€2.19,"Turkey breast fillet, assembled from pieces of meat, salted and cooked, gluten-free, lactose-free. , Binckebanck GmbH has provided the above information.",https://oda.com//de/products/55727-goldmarie-goldmarie-putenbrustfilet/,https://bilder.kolonial.no/local_products/bd83091c-052c-4d50-bd66-471f892631a6.jpg?auto=format&fit=max&w=686&s=9637ae98b4cb5788d05e2081e9a47cd4,3.40g,22g,0.10g,0.40g,0.40g,,,,,,,"92%  turkey breast meat,  drinking water,  table salt,  glucose syrup,  stabilizer:  diphosphates;  antioxidant:  sodium isoascorbate;  Spice extracts,  seasoning,  aroma,  lemon juice powder,  CELERY , preservative: sodium nitrite; smoke flavor. Packed in a protective atmosphere .       ",90 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,1.40g,431kJ / 103kcal,,,,,,,"Binckebanck GmbH, Wolmersdorfer Strasse, D-25704 Meldorf, Germany",,,,,,,,,3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Mettenden every day,€2.99,"Mettenden, smoked. For cooking. , Extrawurst GmbH has provided the above information.",https://oda.com//de/products/44261-jeden-tag-jeden-tag-mettenden/,https://bilder.kolonial.no/local_products/e1daf8a0-6c8b-4506-8ecf-d92c56e8cfdc.jpg?auto=format&fit=max&w=854&s=c898397f6a9d9ab6c72323ba2ab40767,2.90g,17g,0.50g,0.50g,28g,,,,,,,"Pork,  pork bacon,  table salt,  spices  (contains  yellow mustard flour ), dextrose, spice extracts, antioxidants: ascorbic acid, sodium ascorbate; acidifier: glucono-delta-lactone, citric acid; preservative: sodium nitrite; Pig intestines, beech wood smoke. 100g Mettenden are made from 118g pork .                    ",300 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,28g,1334kJ / 319kcal,,,,,,,"Extrawurst GmbH, Hornstrasse 34, 45964 Gladbeck, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Coastal gold mini bratwurst in ESC casing,€2.65,"Mini bratwurst, pre-brewed for grill and pan. , Goldschmaus Natur GmbH & Co. KG has provided the above information.",https://oda.com//de/products/46746-kustengold-kustengold-mini-bratwurst-im-esc-darm/,https://bilder.kolonial.no/local_products/fd3a5cbe-5599-4353-bdc6-502aa00a3532.jpg?auto=format&fit=max&w=667&s=c0a7daf57b5b437631564a2676b4e322,1.90g,13g,0.60g,0.60g,29g,,,,,"Goldschmaus Natur GmbH & Co. KG, Industriestrasse 10-12, 49681 Garrel, Germany",,"86% Schweinefleisch, Trinkwasser, Speisesalz, Gewürze, Dextrose, Speisekollagen (Schwein), Emulgator Mono- und Diglyceride von SpeiseFatsäuren, Stabilisatoren: Triphosphat, Natriumacetat, Natriumcitrat; hydrolysiertes Raps- und Maiseiweiß, Säuerungsmittel: Citronensäure; Maltodextrin, Aroma, essbarer Rinderkollagendarm. Kann Spuren von SENF, SELLERIE und PISTAZIE enthalten. ",250 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,29g,1300kJ / 311kcal,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Goldmarie Metzger cooked ham,€1.49,"Butcher cooked ham, gluten free, lactose free. , Binckebanck GmbH has provided the above information.",https://oda.com//de/products/55733-goldmarie-goldmarie-metzger-kochschinken/,https://bilder.kolonial.no/local_products/5ecfa8fc-425f-431f-82bd-e87baf59bd76.jpg?auto=format&fit=max&w=686&s=a321fb8f83a48c14c1a614b439c8b115,2.10g,22g,0g,0g,0.90g,,,,,,,"pork, table salt, maltodextrin, stabilizers: polyphosphates, diphosphates; acidity regulator: sodium acetate; aroma, spice extracts, antioxidant: sodium ascorbate; Preservative: sodium nitrite. Sealed under protective athmosphere.",90 grams,daily,"Meat, sausage & fish",Sausage & cold cuts,oda,,,,,,2.40g,456kJ / 109kcal,,,,,,,"Binckebanck GmbH, Wolmersdorfer Strasse, D-25704 Meldorf, Germany",,,,,,,,,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
