,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,drained weight,product weight,supplier,country of origin,Ingredients/Ingredients,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,fiber,region of origin,Natrium,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Lieferant,Ursprungsregion,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,Abtropfgewicht,Characteristics,gross weight,Eigenschaften,May contain traces of,FAO area designation,Description,Drained weight,Size,Delivery days,Product InformationThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Produktgewicht,Ursprungsland,Beschreibung,Kann Spuren enthalten von ,sodium,Bruttogewicht,Hinweis,capacity,Inverkehrbringer,"Store at room temperature protected from light. After opening, store in a cool place (max. +7°C) and use up within 2 days. Best before",Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,thereof polyols,distributor,Product InformationThe supplier has not provided us with detailed information about this product.View all Nestlé products,Freshness guarantee (minimum),Monounsaturated fatty acids,storage,Informationen zum Angebot,Information about the offer,Polyunsaturated fatty acids
1019,Maggi clear vegetable broth,€1.99,"Lots of vegetables, a full-bodied taste and a special, individual seasoning mix: This is what characterizes the vegetable broth from MAGGI. Carefully selected soup greens such as onions, carrots, leeks and tomatoes, fine herbs such as parsley and laurel, and perfectly coordinated spices ensure an incomparably delicious and vegetable taste. Whether as a basis for a new tasty vegetable soup recipe or for seasoning and refining numerous meat, vegetable and fish dishes. MAGGI vegetable broth is versatile. The bouillon can be used as a base for vegetable soups and stews as well as casseroles, homemade sauces, risottos, stir-fries or salad dressings. Side dishes such as pasta, rice, couscous or bulgur also get the right flavor from the vegetable bouillon. , Maggi GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45012-maggi-maggi-klare-gemuse-bruhe/,https://bilder.kolonial.no/local_products/24f94503-22a8-4cd7-b22c-bff641ff6e1f.jpg?auto=format&fit=max&w=715&s=0c82a8704249b82d06d4c7e6f77f6f84,0.87g,0.10g,0.30g,0.30g,0.10g,0.10g,13kJ / 3kcal,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",,,,,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,Germany,,,,,,,,,,,,"45,9 % Würzmischung (Salz, Kurkuma, Muskatnuss, Pfeffer), Kartoffelstärke, Zucker, natürliche Aromen, 7,2% Karotten, 7,2% Zwiebeln, Kräuter (Petersilie, SELLERIEBLÄTTER, Lorbeer), Lauch, 0,4% Tomaten, SELLERIESAMEN, Sonnenblumenöl, Salz, natürliches Gemüsearoma mit anderen natürlichen Aromen, natürliches SELLERIEAROMA, natürliches Knoblaucharoma, natürliches Lovage aroma,  seasoning  (from  WHEAT ). May contain EGGS , MILK , MUSTARD and SOY .        ",7 Liter,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,Maggi delicacy sauce for roasting,€1.29,"Maggi Delikatess Sauce for Roasts is perfect for anyone who likes to try hearty recipes with meat and wants to create their own sauce ideas. Because the sauce for roasts from Maggi is the ideal basis for your own sauce creations. Give the sauce a personal touch and refine it day after day. Sauce for roasts goes well with many meat dishes Nothing beats a delicious, harmoniously seasoned sauce with meat dishes! Every sauce idea is a success with Maggi Delikatess Sauce for roasts. The dark sauce goes perfectly with hearty roasts, spicy roulades, fine schnitzels, hearty sliced ​​meat and delicious dumplings. Simply stir the contents of a single packet of Maggi Delikatess Sauce for roasts into 250 ml of hot water and bring to a boil. Then the sauce as desired with red wine, whipped cream, Refine tomato paste or mustard. The delicious, dark sauce is ready! Pour into sauce pots or serve directly on the plate. Maggi Delikatess Sauce for roasts Ideal for lengthening, seasoning and thickening your own sauce ideas Especially delicious with hearty meat dishes such as roasts, roulades, schnitzels, sliced ​​meat and dumplings Creative, delicious recipe ideas for more inspiration and variety are available on the packs and on maggi.de Lässt Refine super with red wine, whipped cream, tomato paste or mustard Quick and easy to prepare , Maggi GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45290-maggi-maggi-delikatess-sosse-zum-braten/,https://bilder.kolonial.no/local_products/b86eb3a2-5b5c-4a29-9f06-81d2209d0325.jpg?auto=format&fit=max&w=1000&s=afc958bcfd6b10a20225ebcdeb3dcabf,1.40g,0.60g,0.60g,0.60g,0.90g,0.90g,111kJ / 27kcal,,,,,,,,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Strasse 8, 78224 Singen (Hohentwiel), Germany",Deutschland,"Jodsalz, Reismehl, Stärke, Palmfett, Aromen (mit GERSTE), WEIZENMEHL, Zucker, Hefeextrakt, 3,5% Tomaten, Verdickungsmittel Guarkernmehl, Maltodextrin, 2,4% Zwiebeln, Paprika, Gewürze, Säuerungsmittel Citronensäure. Kann EIER, MILCH, SOJA, SELLERIE und SENF enthalten. ","0,25 Liter",täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,Leimer croutons onion/garlic,€1.19,"LEIMER croutons onion / garlic 100g , Leimer KG has provided the above information.",https://oda.com//de/products/45887-leimer-leimer-croutons-zwiebel-knoblauch/,https://bilder.kolonial.no/local_products/7017feea-a380-46b9-be1e-c47d619ac8b6.jpg?auto=format&fit=max&w=825&s=ff53639e9f5d183b64caaa210d21b408,3.80g,10.40g,5.10g,60.20g,9.40g,18.50g,1910kJ / 455kcal,,,"Leimer KG, Kotzinger Str. 16, D-83278 Traunstein, Germany",Germany,"WHEAT FLOUR , Vegetable Fat (Palm), Salt, Onions, Yeast Extract, Garlic, Parsley, Flavouring, Sugar, Yeast, Rapeseed Oil             ",100 gram,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,3.20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,Barilla Pasta Sauce Basilico,€3.19,"BAR. sauce cl. Basil 400g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/47741-barilla-barilla-pasta-sauce-basilico/,https://bilder.kolonial.no/local_products/d918070c-1db0-421e-8bf9-c60dc311a918.jpg?auto=format&fit=max&w=541&s=0bb113235f68fd8adc7f916403c3db36,0.90g,1.60g,5.90g,7.60g,0.30g,2.60g,268kJ / 64kcal,,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",,"Tomato pulp 72%, tomato paste concentrate 14%, onions, vegetable oils (olive, sunflower), basil 2%, sugar, salt, natural flavor.",400 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,1.90g,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Ostmann Roast Chicken Seasoner,€2.19,"Roast Chicken Seasoning Salt , DF World of Spices GmbH has provided the above information.",https://oda.com//de/products/50158-ostmann-ostmann-brathahnchen-wurzer/,https://bilder.kolonial.no/local_products/d1464b1c-e951-443f-9d18-835f5798c61b.png?auto=format&fit=max&w=705&s=6fd9f832f1fed9f3f29e2e5b6aeb23ee,74.50g,2.20g,6.10g,8.10g,0.50g,2.40g,311kJ / 75kcal,,,"DF World of Spices GmbH, Dieter-Fuchs-Strasse 10, 49201 Dissen aTW, Germany",,"Salt, Roast Chicken Seasoning (Paprika, Rosemary, Thyme, Sage), Sugar.",50 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,5.80g,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.79 g,,,,,,,,,,,,,,,,
1024,BIO COMPANY Organic bay leaves,€1.79," , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52619-bio-company-bio-company-bio-lorbeerblatter/,https://bilder.kolonial.no/local_products/61745f58-442f-432d-9868-48775604e818.png?auto=format&fit=max&w=450&s=3a231736c9c44d9e06d2bf9ef19ad97a,,,,,,,,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,bay leaves whole*,6 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,,,,,,organic product,,,"Gluten, nuts, celery, mustard, sesame seeds.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Aquasale Sea Salt Fleur De Sel,€3.99,"Aquasale Fleur de Sel sea salt 125g jar , Südwestdeutsche Salzwerke AG has provided the above information.",https://oda.com//de/products/43591-aquasale-aquasale-meersalz-fleur-de-sel/,https://bilder.kolonial.no/local_products/7f358afc-db71-4280-a3c4-2257a5f2e6c4.png?auto=format&fit=max&w=650&s=e33d286a8579d516bb9739d7507daa10,,,,,,,,,,"Südwestdeutsche Salzwerke AG, Salzgrund 67 74076 Heilbronn, Germany",Spain,Sea-salt.,125 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026,Barilla Pasta Sauce Neapolitan,€3.19,"BAR. sauce cl. Neapolitan 400g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/45819-barilla-barilla-pasta-sauce-napoletana/,https://bilder.kolonial.no/local_products/6c44ccc7-ab35-489c-b8c0-443d1bae2077.jpg?auto=format&fit=max&w=541&s=cbc940f2b10070c2ace7598eee8580ae,0.96g,1.40g,5.20g,6.20g,0.40g,3.70g,281kJ / 67kcal,,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",,"Tomato pulp 66%, tomato paste concentrate 10%, onions 7%, water, carrots 3.5%, vegetable oils (olive, sunflower), sugar, salt, garlic 0.5%, thyme 0.4%, chives 0.2%, Parsley 0.2%, aromas, black pepper.",400 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,1.80g,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Maggi Del.Twin pack of pepper sauce,€1.29,"The spicy Maggi pepper sauce is a hearty accompaniment for delicious meat dishes and can be individually refined and modified. Use the pepper sauce as a basis for your own sauce ideas and vary them according to personal preferences. Spicy pepper sauce for many meat dishes Maggi pepper sauce is ideal for pan-fried meat such as pepper steak. But it also tastes great with schnitzels and meatballs. The pepper sauce gives the meat dishes a wonderfully spicy and strong taste. , Maggi GmbH has provided the above information.",https://oda.com//de/products/47035-maggi-maggi-del-doppelpack-pfeffersosse/,https://bilder.kolonial.no/local_products/f4a0da6e-dc86-4d7a-ae44-aa6078ac708b.jpg?auto=format&fit=max&w=1000&s=8062f293fd315704366533af2ac5cbfc,1g,0.90g,1.30g,1.30g,0.20g,0.20g,123kJ / 29kcal,,,,,"Kartoffelstärke*, WEIZENMEHL*, Jodsalz (Salz, Kaliumiodat), Gewürze* (Zwiebeln, 2,8% Pfeffer, Piment, Knoblauch, Paprika), Zucker*, Hefeextrakt, natürliche Aromen* (mit WEIZEN), Tomatenpulver*, Karamellzucker*, MILCHEIWEISSERZEUGNIS*, Speck, Sonnenblumenöl*, Säuerungsmittel Citronensäure*, Salz*. Kann SELLERIE, EIER, SENF und SOJA enthalten ",2 pieces,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028,"BIO COMPANY organic chicken bouillon without yeast extract, 140g",€2.49,"Strong chicken bouillon without added sugar or yeast extract - with 12% chicken meat powder for a hearty, aromatic taste. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52676-bio-company-bio-company-bio-huhnerbouillon-ohne-he/,https://bilder.kolonial.no/local_products/3899ad81-e2e0-4446-8c8a-a3bbf756d717.jpg?auto=format&fit=max&w=450&s=93b07f7e3a80208a98f51fa2316743ec,1.20g,0.50g,0.50g,0.50g,,0.50g,13kJ / 3kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Salz [Meersalz (54 %), Speisesalz (7,7 %)], Hühnerfleischpulver* (12 %), Reismehl*, Zwiebeln* (5,5 %), Maisstärke*, SELLERIE* (2 %), Hühnerfett* (1,1 %), Muskatnuss*, Liebstockblätter* 1 %, Petersilie* 0,5 %, Koriander*, Kurkuma*, Knoblauchpulver*, Lorbeerblätter* 0,3 %, Rosmarin* 0,2 %, Pfeffer*
schwarz; Antioxidationsmittel: Rosmarinextrakt* ",7 liters,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,"Gluten, Eier, Sojabohnen, Milch, Senf, Schwefeldioxid.",,,,,,,,,,,,,,,,,
1029,BIO COMPANY organic mild curry,€1.79," , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52776-bio-company-bio-company-bio-curry-mild/,https://bilder.kolonial.no/local_products/65f63442-f197-4fec-8799-c1d42b917c53.png?auto=format&fit=max&w=450&s=facc8aad28dfefe02268553319fd48e8,5.10g,14g,31.50g,42g,,10.60g,1463kJ / 349kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Ground coriander*, ground fenugreek*, ground turmeric*, ground garlic*, fine table salt, ground chili*, ground cumin*, ground ginger*",40 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,15g,,,,,,,,,,,,,,,,,organic product,,,"Gluten, nuts, celery, mustard, sesame seeds.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,"BIO COMPANY Organic basil, rubbed",€1.79," , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52822-bio-company-bio-company-bio-basilikum-gerebelt/,https://bilder.kolonial.no/local_products/99f350de-5e00-4cc8-9f9d-1add5f3acf11.png?auto=format&fit=max&w=450&s=e5d872976e36066d0b1d3f243511f47f,,,,,,,,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,Basil*,20 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,,,,,,organic product,,,"Gluten, nuts, celery, mustard, sesame seeds.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Barilla Pasta Sauce Arrabbiata,€3.19,"BAR. sauce cl. Arabiata 400g , Barilla Deutschland GmbH / BARILLA division has provided the above information.",https://oda.com//de/products/27486-barilla-barilla-pasta-sauce-arrabbiata/,https://bilder.kolonial.no/local_products/f76f6200-2ecc-4239-96a8-fa541c3c0b22.jpg?auto=format&fit=max&w=542&s=741ef1d1abf3676734c4ec5557749a2c,1g,1.40g,5g,5.50g,0.30g,3.10g,250kJ / 60kcal,,,"Barilla Deutschland GmbH / BARILLA Division, Via Mantova 166, Parma, Italy",,"Tomato pulp 82%, tomato paste concentrate 7.9%, vegetable oils (olive, sunflower), red sweet peppers, garlic, salt, parsley, sugar, 0.1% chili peppers. Origin of the chili peppers: non-EU.",400 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,2.20g,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,Maggi Del.Double pack of cream sauce for roasts,€1.49,"Use Maggi cream sauce for roasts as a sophisticated cooking aid and in no time a creamy sauce is finely seasoned with onions, cream and pepper, ready! The hearty cream sauce can also be used to create many other sauces for meat, whether simple or a little more unusual. The ideal sauce for delicious meat dishes. Maggi cream sauce for roasts tastes particularly delicious with roast pork and turkey and with pan-fried meat. But the cream sauce is also a real highlight with pasta and potatoes. , Maggi GmbH has provided the above information.",https://oda.com//de/products/44706-maggi-maggi-del-doppelpack-rahmsosse-zu-braten/,https://bilder.kolonial.no/local_products/3bdcfba5-93e8-4072-a42f-b98559e3aae6.jpg?auto=format&fit=max&w=1000&s=80060a25f4dcf5ac82acfa5e82af4797,1.20g,1.60g,1.30g,1.30g,2.30g,2.30g,224kJ / 54kcal,,,,,"WEIZENMEHL*, 22,5% SAHNEPULVER*, Kartoffelstärke*, Reismehl*, Hefeextrakt, Jodsalz (Salz, Kaliumjodat), Gewürze* (4,4% Zwiebeln, weißer Pfeffer, Knoblauchpulver) , natürliche Aromen* (mit WEIZEN), Karamellzucker*, Zucker*, Würze* (aus WEIZEN), Salz*, Sonnenblumenöl*, Paprikaöl*. Kann EIER, SENF, SOJA und SELLERIE enthalten. ",0.25 liters,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Aquasale Sea Salt Coarse,€2.29,"Aquasale Coarse Sea Salt 1kg bag , Südwestdeutsche Salzwerke AG has provided the above information.",https://oda.com//de/products/46495-aquasale-aquasale-meersalz-grobkornig/,https://bilder.kolonial.no/local_products/83091c56-3ae5-47e5-85c3-32ecc4032aa0.jpg?auto=format&fit=max&w=582&s=98779125a0d07145eec89ee6c740a2cf,,,,,,,,,,"Südwestdeutsche Salzwerke AG, Salzgrund 67 74076 Heilbronn, Germany",Germany,Sea-salt.,1000 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,Maggi clear chicken broth,€1.99,"Good ingredients such as chicken and vegetables, seasoned with fine herbs and a special seasoning mix, ensure a full and hearty taste. The chicken broth is quickly soluble and can be dosed individually. One glass yields 4 liters of spicy broth. Quickly prepare a clear soup, round off fricassee or taste the ragout - no problem with Maggi chicken broth! Simply stir half a teaspoon of the broth into 150ml of boiling water and add the chicken broth individually to refine it. The chicken broth can also be used undiluted to season and taste. Maggi chicken broth is a time-saving and practical helper for a variety of classic and creative dishes. Whether classic chicken soup, gratin, stew, roast, Risotto or curry - dishes get their finishing touch with Maggi's chicken broth. Maggi's chicken broth is also a pleasure as a hearty drinking broth. As well as for seasoning vegetable pans, polenta, meat and vegetable dishes from the tin. , Maggi GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/46976-maggi-maggi-klare-huhnerbouillon/,https://bilder.kolonial.no/local_products/bc9dadce-ebd4-48cc-afbd-0e5735361ae4.jpg?auto=format&fit=max&w=715&s=a77a848c60003fea9934dd96e5529396,1.10g,0.10g,0.50g,0.50g,0.10g,0.10g,21kJ / 5 calories,,,,,,,,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",,"47% Würzmischung (Salz, Zwiebeln, Kurkuma, Knoblauch, Koriander, Pfeffer), Kartoffelstärke, Zucker, natürliches Aroma, Hühnerfleischextrakt, Hühnerfett, Kräuter (SELLERIEBLÄTTER, Lorbeer), SELLERIESAMEN, Sonnenblumenöl, Würze (aus WEIZEN), Salz, Antioxidationsmittel Extrakt aus Rosmarin. Kann EIER, MILCH, SENF und SOJA enthalten. ",4 Liter,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Wagner Organic Italian Herbs,€3.95,"Organic Italian herbs , DF World of Spices GmbH has provided the above information.",https://oda.com//de/products/50082-wagner-wagner-bio-italienische-krauter/,https://bilder.kolonial.no/local_products/feb91642-5c19-4cac-af29-de248d8a9f23.jpg?auto=format&fit=max&w=357&s=2600d30f1ecfe496c563d766903246d9,0.14g,12.40g,36.90g,48.50g,1.70g,8.20g,1497kJ / 357kcal,,,"DF World of Spices GmbH, Dieter-Fuchs-Strasse 10, 49201 Dissen aTW, Germany",,"Oregano*, basil*, thyme*, parsley*, rosemary* *from controlled organic cultivation from EU/non-EU agriculture.",100 gram,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,20.10g,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,0.05g,,,,,,,,,,,,,,,,
1036,"BIO COMPANY organic thyme, rubbed",€1.79," , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/52491-bio-company-bio-company-bio-thymian-gerebelt/,https://bilder.kolonial.no/local_products/bf30bf7f-c68c-4b30-a6d2-822eb5aed877.png?auto=format&fit=max&w=450&s=e8a78ec49e8667941112ad94e6cd8f86,,,,,,,,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,thyme rubbed*,20 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,,,,,,organic product,,,"Gluten, nuts, celery, mustard, sesame seeds.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Barilla Pasta Sauce Toscana Kräuter,"3,19€","BAR. Sauce Cl. Toscana Kräuter 400g , Barilla Deutschland GmbH / Geschaftsbereich BARILLA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/7069-barilla-barilla-pasta-sauce-toscana-krauter/,https://bilder.kolonial.no/produkter/96d29425-d4af-4626-aee3-f968d3c87681.jpeg?auto=format&fit=max&w=535&s=dfcc8181b5cbb0c00657c4a9ee39a46e,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,1 g,1.40 g,1.50 g,5 g,6.40 g,0.30 g,3.50 g,274 kJ / 66 kcal,"Barilla Deutschland GmbH / Geschaftsbereich BARILLA, Via Mantova 166, Parma, Italien",Italien,"ZUTATEN: Tomatenfruchtfleisch 65%, Wasser, Tomatenmarkkonzentrat 9%, Zwiebeln, pflanzliche Öle (Olive, Sonnenblume), Salz, Zucker, Petersilie 0,6%, Thymian 0,4%, Knoblauch, Oregano 0,08%, schwarzer Pfeffer. ",400 Gramm,täglich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Aquasale Meersalz mit Jod,"1,19€","Aquasale Feines Meersalz mit Jod 500 g Paket , Südwestdeutsche Salzwerke AG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43762-aquasale-aquasale-meersalz-mit-jod/,https://bilder.kolonial.no/local_products/3576fcf5-1a74-41aa-973a-e9951bca3ed5.jpg?auto=format&fit=max&w=408&s=f78d86d94f9e8c398c9357d36c024e63,,,,,,,,,,,,,,,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Südwestdeutsche Salzwerke AG, Salzgrund 67 · 74076 Heilbronn, Deutschland",Frankreich,"Meersalz, Kaliumjodat, Trennmittel Natriumferrocyanid.",500 Gramm,täglich,,,,,,,,,,,,,Deutschland,,,,,,,,,,,,,,,,,,,
1039,Fuego Tortilla Seasoning Mix,€1.65,"Fuego Tortilla Seasoning Mix 30g , Theodor Kattus GmbH has provided the above information.",https://oda.com//de/products/46165-fuego-fuego-tortilla-seasoning-mix/,https://bilder.kolonial.no/local_products/dfe06e1a-84ee-4b69-9af5-f7b36fce87a7.jpg?auto=format&fit=max&w=657&s=376d55558e7573dc814cc847babe8b29,12.10g,10.10g,35.30g,50.90g,0.80g,4.20g,1307kJ / 310kcal,,,"Theodor Kattus GmbH, Dieter-Fuchs-Strasse 10, 49201 Dissen am Teutoburg Forest, Germany",,"Tortilla Seasoning (Onion, Paprika, Garlic, Tomato, Chili, Cumin, Oregano, Parsley, Pepper) Salt, Sugar. May contain traces of wheat, egg, soy, milk, celery, mustard and sesame",30 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,14.20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85g,,,,,,,,,,,,,,,,
1040,Maggi Del.Double Pack Jägersoße,€1.49,"How about a delicious hunter's sauce with the meat. With Maggi, the desired mushroom sauce can be prepared in just a few minutes. Maggi Jäger Sauce is still an absolute highlight, but the sauce is also suitable as a basis for your own sauce ideas. The delicious mushroom sauce with paprika and pepper not only tastes good with Jägerschnitzel, it also goes well with meatballs, steaks, schnitzels, pasta, French fries and croquettes. Maggi Jäger Sauce rounds off homemade dishes perfectly and gives them that certain something. , Maggi GmbH has provided the above information.",https://oda.com//de/products/47454-maggi-maggi-del-doppelpack-jagersosse/,https://bilder.kolonial.no/local_products/ec1913ec-1892-47bc-aad5-e9760f4868fc.jpg?auto=format&fit=max&w=1000&s=63e03d6af6bc664b5eff375624aecf62,1.20g,1g,1.50g,1.50g,0.20g,0.20g,126kJ / 30kcal,,,,,"WEIZENMEHL*, Kartoffelstärke*, Jodsalz (Salz, Kaliumjodat), Zucker*, 6,5% Champignons*, Hefeextrakt, Karamellzucker*, Tomatenpulver*, geräucherter Speck* (Speck, Salz, Rauch), Gewürze* (Paprika, Knoblauch, weißer Pfeffer), SELLERIE*, natürliche Aromen*, Säuerungsmittel Citronensäure*, Sonnenblumenöl*. Kann EIER, MILCH, SENF und SOJA enthalten. ",2 pieces,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,"Maggi GmbH, Julius-Bührer-Straße 8, 78224 Singen (Hohentwiel), Deutschland",Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,BIO COMPANY Organic herbs from Provence,€1.79," , BIO COMPANY has provided the above information.",https://oda.com//de/products/52639-bio-company-bio-company-bio-krauter-der-provence/,https://bilder.kolonial.no/local_products/006d0065-251f-44d8-b1b1-2d185d17aa95.png?auto=format&fit=max&w=450&s=0ad403b168506bef57ad19fc87440470,,,,,,,,,,"BIO COMPANY, Rheinstrasse 45-46, 12161 Berlin, Germany",," Grated  oregano *, chopped rosemary  *, chopped  laurel  *, rubbed  basil  *, rubbed  thyme  *, rubbed  marjoram  * *  from  controlled  organic  cultivation ",20 grams,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,,,,,,organic product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,"BIO COMPANY organic beef broth with yeast glass, 140g",€2.69,"Strong broth with 9% beef powder for a hearty, aromatic taste, perfect for seasoning soups and sauces, or as a drinking broth - without palm oil. , BIO COMPANY SE has provided the above information.",https://oda.com//de/products/57347-bio-company-bio-company-bio-rinderbruhe-mit-hefe-g/,https://bilder.kolonial.no/local_products/965410ba-840a-4bb9-aa0f-a32d240cd8a5.jpg?auto=format&fit=max&w=1000&s=0c89ce65865eb1bc304034ad8421455f,1.20g,0.50g,0.50g,0.50g,,0.50g,15kJ / 4kcal,,,"BIO COMPANY SE, Rheinstrasse 45-46, 12161, Berlin, Germany",,"Salt [sea salt (41%), table salt (16.4%)], maltodextrin*, beef powder* (9%), onions (7%)*, yeast extract*, beef fat* (2%), corn starch*, tomato (2nd %)*, caramelized sugar*, pumpkin (1%)*, parsnips (1%)*, fennel*, lovage root*, parsley* (0.3%), garlic powder*, lovage leaves* (0.3%), pepper* black, rosemary* (< 0.1%), carrot juice powder*",7 liters,daily,"Supplies, sauces and condiments",Cooking Aids & Spices,oda,,,,,,,,,,,,,,,,,,organic product,,,"Gluten, Eggs, Soybeans, Celery, Mustard.",,,,,,,,,,,,,,,,,,,,,,,,,,,
