,,,,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Unnamed: 6,country of origin,commercial class,Contents,Possible delivery times,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Country of origin,Trade class,Contents.1,Possible delivery times.1,Weight,Characteristics,supplier,Information about the offer,region,supplier.1,Region of origin,region of origin,variety,Quality,Description,trademark,trade class,mixing,Characteristics.1,Salt,protein,Sugar,carbohydrates,hereof: saturated fatty acids,Fat,calorific value,Ingredients/Ingredients,Freshness guarantee (minimum),Salt.1,Protein,fiber,Zucker,carbohydrates.1,hereof: saturated fatty acids.1,Fett,calorific value.1,Ingredients/Ingredients.1,Freshness guarantee (minimum).1,fiber.1,Information about the offer.1,May contain traces of,May contain traces of.1,storage,drained weight,storage.1,Variable weight,Description.1,drained weight.1,distributor,Notice,Polyunsaturated fatty acids,Monounsaturated fatty acids,particularities,weight class,grade,Size,Size.1,Delivery days,Freshness guarantee,Product InformationThe supplier has not provided us with detailed information about this product.View all Alpro products,sodium,deposit,deposit.1
600,,,,Landliebe cream pudding vanilla,€0.89,"The Landliebe cream pudding vanilla combines good Landliebe milk, fine cream and aromatic vanilla to create a particularly creamy treat. , Friesland Campina Germany GmbH has provided the above information.",https://oda.com//de/products/47576-landliebe-landliebe-sahnepudding-vanille/,https://bilder.kolonial.no/local_products/20a59d2a-adf2-40a8-9ba6-134bf5b9cdad.jpg?auto=format&fit=max&w=1000&s=0f00dbea8a7664ccbcb09c280ec0f331,,,,150 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,"Friesland Campina Germany GmbH, Wimpfener Str. 125, 74078 Heilbronn, Germany",,,,,,,,,,,,,0.16g,2.80g,11g,11g,8.50g,8.50g,601kJ / 144kcal,"86%  CREAM , sugar, modified starch, SKIMMED MILK CONCENTRATE , natural bourbon vanilla flavor (contains MILK ), starch, coloring carotene, ground extracted bourbon vanilla beans.               ",6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,,,,Oetker cream pudding chocolate,€2.49,"our dr Oetker Löffelglück Cream Pudding Milk Chocolate is a popular classic made from full-bodied cream and real milk chocolate. Its creamy consistency and its natural, chocolaty taste make it a favorite dessert, which can be perfectly combined with fruit and vanilla sauce or simply enjoyed on its own. With the spoonful of luck cream pudding milk chocolate you give yourself or your loved one a moment full of pleasure and a feeling of home and security. the dr Oetker Löffelglück Cream Pudding milk chocolate in a 500g tub from the refrigerated section is ideal for a great moment of pleasure and for sharing. It is also available in a practical 200g cup for in between meals or as a dessert. , dr Oetker Germany - Chilled provided the above information.",https://oda.com//de/products/47613-dr-oetker-oetker-sahne-pudding-schoko/,https://bilder.kolonial.no/local_products/c34d2b1b-06f9-4235-99c3-b31913863ef1.jpg?auto=format&fit=max&w=752&s=f0a71426cf0e40e3db7c9171e8ee1862,,,,,,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,500 Gramm,daily,,,,,,"Dr. Oetker Germany - Chilled, 33547 Bielefeld, Deutschland",Deutschland,,,,,,,,,,,,,,,,,,0.11g,3.30 g,,13 g,13 g,9.30 g,9.30 g,671 kJ / 160 kcal,"85% SAHNE, Zucker, modifizierte Stärke (Mais), 2,2% fettarmer Kakao, 1,5% VOLLMILCHSCHOKOLADE (Zucker, Kakaobutter, VOLLMILCHPULVER, Kakaomasse, MAGERMILCHPULVER, Emulgator (SOJALECITHINE), Aroma), Maisstärke, Verdickungsmittel (Carrageen). ",,,,,,,,,,,,,,,,,,,,,,,,,,
602,,,,Ehrmann High Protein Semolina Pudding,€1.65,"Ehrmann High Protein Pudding Semolina Natural with 20 grams of protein per cup, no added sugar, lactose and gluten-free with little fat. And particularly filling. Low fat , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/50591-ehrmann-ehrmann-high-protein-griesspudding/,https://bilder.kolonial.no/local_products/80f79a11-043a-4a38-a0bc-8d2fac00b7b7.jpg?auto=format&fit=max&w=940&s=126b0b6b9263bfa9fa904aa3c94a1cfb,,,,200 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Strasse 2, 87770 Oberschönegg, Germany",,,,,Germany,,,,,,,,0.10g,10g,4.50g,8g,0.80g,1.20g,350kJ / 83kcal,"skimmed  MILK , MILK PROTEIN 8.7%, rice semolina 5.1%, CREAM , thickeners (carrageenan, xanthan), lactase, sweeteners (acesulfame K, sucralose), flavoring. Contains naturally occurring sugars . May contain traces of soy .                       ",,,,,,,,,,,,,,soybeans.,,,,,,,,,,,,,,,,,,,,,,
603,,,,Elina's natural yoghurt Greek style 9.4%,€1.99,"Elina's Greek-style yoghurt nature 9.4% 500G , Hochwald Foods GmbH has provided the above information.",https://oda.com//de/products/44875-elinas-elinas-naturjoghurt-griechische-art-94/,https://bilder.kolonial.no/local_products/e4d5b931-e6cd-4acc-91cc-b5ed91c74f45.jpg?auto=format&fit=max&w=678&s=0827bcdc2a987fcbc848363c309d49bc,,,,500 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,"Hochwald Foods GmbH, Bahnhofstrasse 37-43, 54424 Thalfang, Germany",,,,,Germany,,,,,,,,0.13g,3.30g,3.90g,3.90g,6.30g,9.40g,470kJ / 113kcal,"Greek style yogurt,",6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,,,,"Ehrmann Monsterbacke Erdb,banana,raspberry",€0.99,"ROBBY Monster Backe - that's great fun for our little Ehrmann friends. In the 6x50g cup there are three different types of quark to spoon! Strawberry, banana and raspberry. , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/44991-ehrmann-ehrmann-monsterbacke-erdb-banane-himbeere/,https://bilder.kolonial.no/local_products/5ab0aded-f82e-4482-a9e7-258e4f7b42fa.jpg?auto=format&fit=max&w=1000&s=5e577259c4c8c263a181ed2ef2f71fdf,,,,50 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Straße 2, 87770 Oberschönegg, Deutschland",Deutschland,,,,,,,,,,,,,,,,"FRISCHKÄSE, Früchte*, Zucker, modifizierte Stärke, färbende Pflanzenkonzentrate (Karottenkonzentrat, Rote Betesaftkonzentrat)¹, natürliches Aroma, Calciumcarbonat, Verdickungsmittel (Guarkernmehl, Xanthan).
* Früchte: Erdbeeren, Bananen, Himbeeren.¹ bei Erdbeere und Himbeere. Ohne Konservierungsstoffe. ",5 days,0.10 g,5.60 g,,10 g,11 g,1.90 g,2.90 g,390 kJ / 93 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,,,,Ehrmann High Protein Pudding Chocolate,€1.49,"Ehrmann High Protein Pudding with 20 grams of protein per cup, no added sugar, lactose and gluten-free with little fat. And particularly creamy. Low fat , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/45933-ehrmann-ehrmann-high-protein-pudding-schoko/,https://bilder.kolonial.no/local_products/3755bd4f-ccc5-4141-ae65-56151bf04084.jpg?auto=format&fit=max&w=940&s=41364503fcfea23762caa0087544afb0,,,,200 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Straße 2, 87770 Oberschönegg, Deutschland",Deutschland,,,,,,,,,,,,,,,,"entrahmte MILCH, MILCHEIWEISS 8,5%, SAHNE, Kakaopulver 1,8%, fettarmes Kakaopulver 0,2%,
modifizierte Stärke, Laktase, Verdickungsmittel (Carrageen, E 466), Süßungsmittel (E 950, Sucralose),
natürliches Aroma.
DE Enthält von Natur aus Zucker. ",,0.12 g,10 g,,4 g,5.50 g,1 g,1.50 g,319 kJ / 76 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,,,,Minus L plain yoghurt 1.5%,€1.69,"MinusL natural yoghurt 1.5% 400g , OBM OMIRA Bodenseemilch GmbH has provided the above information.",https://oda.com//de/products/45007-minus-l-minus-l-joghurt-natur-15/,https://bilder.kolonial.no/local_products/3a3ff276-9495-4bc5-ad61-0065838ce02a.jpg?auto=format&fit=max&w=770&s=4b9c5cfb2d177472f68fc808fcfc6932,,Germany,,400 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,"OBM OMIRA Bodenseemilch GmbH, Jahnstraße 10, 88214 Ravensburg, Germany",,,,,,,,,,,,,0.13g,4.40g,5.90g,5.90g,1g,1.50g,231kJ / 55kcal,low-fat  YOGURT  mild  lactase ,6 days,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,
607,,,,Ehrmann High Protein Hazelnut Mousse,€1.99,"High Protein Mousse contains 20 grams of protein, has no added sugar, is lactose- and gluten-free and low in fat. Lactose-free Lactose < 0.1g/100g low in fat , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/50592-ehrmann-ehrmann-high-protein-hazelnut-mousse/,https://bilder.kolonial.no/local_products/de5228a7-7608-47b9-896d-47fb8206f8d7.jpg?auto=format&fit=max&w=817&s=12f871407abad811a7ee90faeb644f41,,,,200 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Strasse 2, 87770 Oberschönegg, Germany",Deutschland,,,,,,,,,0.20g,10g,4g,5g,1.60g,2.40g,344kJ / 82kcal,"entrahmte MILCH, MILCHEIWEISS 7,5%, SAHNE, Speisegelatine (Rind), HASELNUSSPASTE 1,0%, modifizierte Stärke, Kakaopulver, Aroma, Verdickungsmittel (Guarkernmehl, Carrageen), Laktase, Süßungsmittel (Acesulfam K, Sucralose).
Enthält von Natur aus Zucker.
Mit Stickstoff aufgeschlagen.
Kann Spuren von anderen Schalenfrüchten und Soja enthalten. ",4 days,,,,,,,,,,,,,,Sojabohnen.,,,,,,,,,,,,,,,,,,,,,
608,,,,Muller Froop Lemon,€0.69,"Sour is fun - and Müller Froop lemon puts you in a good mood. When the sweet and sour citrus fruit melts with the creamy, fresh yoghurt, that summer feeling is inevitable. , Molkerei Alois Müller GmbH & Co. KG has provided the above information.",https://oda.com//de/products/45041-muller-muller-froop-zitrone/,https://bilder.kolonial.no/local_products/c625f3b4-1bae-4273-9c68-36efe257afdf.jpg?auto=format&fit=max&w=813&s=d295da5796ea6ea2e415279fedd98951,,,,150 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Molkerei Alois Müller GmbH & Co. KG, Zollerstraße 7, 86850 Fischach-Aretsried, Deutschland",Deutschland,,,,,,,,,0.30g,3.70g,16.50g,16.50g,2.20g,2.20g,,"63% JOGHURTERZEUGNIS, Wasser, Zucker, Zitronensaft* aus Zitronensaftkonzentrat, modifizierte Stärke, Orangensaftkonzentrat, Speisegelatine (Schwein), färbendes Pflanzenkonzentrat (Saflor), Säureregulator Natriumcitrate, Emulgator E 472 b, Schaummittel Stickstoff, Stärke, Aroma (enthält MILCH). *Frucht im Endprodukt: 6,4 % ",5 days,,,,,,,,450kJ / 108kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,,,,Ehrmann High Protein Vanilla & Topping,€1.49,"Hi Protein, Hi Power, Hi Dessert Enjoyment! High protein pudding with topping in vanilla flavor with extra protein topping for maximum enjoyment without regrets. As always, the products with 20 grams of protein, no added sugar, are lactose- and gluten-free and low in fat. lactose-free Lactose < 0.1g/100g low in fat , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/50593-ehrmann-ehrmann-high-protein-vanilla-topping/,https://bilder.kolonial.no/local_products/ea0d27ba-c441-4b42-ada6-d1098fb1ed52.jpg?auto=format&fit=max&w=940&s=6e60d9903a38d581e1d6d12041858c23,,,,200 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Strasse 2, 87770 Oberschönegg, Germany",Deutschland,,,,,,,,,0.12g,10g,4g,5g,1.50g,2.30g,340kJ / 81kcal,"entrahmte MILCH, MILCHEIWEISS 8,5%, SAHNE 6%, natürliches Bourbon-Vanillearoma, modifizier-te Stärke, Verdickungsmittel (Carrageen, E 466), Speisegelatine (Rind), färbendes Pflanzenkonzent-rat (Saflorkonzentrat), Emulgator (E 472b), Laktase, natürliches Aroma, Süßungsmittel (E 950, Sucra-lose).
Enthält von Natur aus Zucker.
Topping mit Stickstoff aufgeschlagen. ",4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,,,,Naturwert organic natural yoghurt 1.5% fat,€1.19,"Species-appropriate animal husbandry with plenty of freedom of movement and grazing are guaranteed: the milk for NaturWert organic yoghurt comes from controlled organic farming. , Molkerei Söbbeke GmbH has provided the above information.",https://oda.com//de/products/45107-naturwert-bio-naturwert-bio-natur-joghurt-15-fett/,https://bilder.kolonial.no/local_products/ddda8cf3-41c1-494b-b6a8-5fb5939ebb25.jpg?auto=format&fit=max&w=667&s=dd44eb6b3ce30b72cf9ab94cc5637b86,,,,500 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,organic product,"Molkerei Söbbeke GmbH, Amelandsbrückenweg 131, D-48599 Gronau-Epe, Germany",,,,,Germany,,,,,,,,0.19g,5.20g,6.20g,6.20g,1.50g,1.50g,262kJ / 63kcal,YOGURT  made from  SKIMMED MILK . ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,,,,Ehrmann Grand Dessert Double Choc,€0.99,"Seductive pleasure for the special moments! Lean back and let yourself be seduced by the finest cream and exquisite dessert crème. Uniquely delicious, but thankfully available in many delicious flavors. Our grand dessert with the best ingredients in a 190g cup. , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/47370-ehrmann-ehrmann-grand-dessert-double-choc/,https://bilder.kolonial.no/local_products/f490add0-edae-4b22-979a-5e8d2f39da16.jpg?auto=format&fit=max&w=941&s=be86d60a0e54fbb0c7c01e07479b7796,,,,190 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Straße 2, 87770 Oberschönegg, Deutschland",Deutschland,,,,,,,,,0.10g,2.80g,14g,17g,2.90g,4.40g,499kJ / 119kcal,"entrahmte MILCH, SAHNE 20%, MOLKENERZEUGNIS, Glukose-Fruktose-Sirup, Zucker, modifizier-te Stärke, fettarmer Kakao* 1,6%, Schokolade 1% (Zucker, Kakaobutter*, Kakaopulver*), fettarmer Arriba-Kakao* 0,1%, Verdickungsmittel (Carrageen, Guarkernmehl), Speisegelatine, Emulgator (E 472b), Aroma.
Topping mit Stickstoff aufgeschlagen.
*Rainforest Alliance CertifiedTM cocoa ",4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,,,,Ehrmann Grand Dessert Chocolate Stracciatella,€0.99,"Seductive pleasure for the special moments! Lean back and let yourself be seduced by the finest cream and exquisite dessert crème. Uniquely delicious, but thankfully available in many delicious flavors. Our grand dessert with the best ingredients in a 190g cup. , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/42303-ehrmann-ehrmann-grand-dessert-schoko-stracciatella/,https://bilder.kolonial.no/local_products/59c2cc2a-7746-48d1-a11d-3bb45be0d769.jpg?auto=format&fit=max&w=941&s=cbd3a30158ff75d020868c93fe1ef167,,,,190 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Strasse 2, 87770 Oberschönegg, Germany",Deutschland,,,,,,,,,0.10g,2.70g,15g,18g,3.20g,4.80g,530kJ / 126kcal,"entrahmte MILCH, SAHNE 20%, MOLKENERZEUGNIS, Glukose-Fruktose-Sirup, Zucker, modifizierte Stärke, fettarmes Kakaopulver* 1,0%, Schokolade 1,0% (Zucker, Kakaopulver*, Kakaobutter*), Schokoladensplits 0,5% (Kakaomasse*, Kakaobutter*, Zucker), Verdickungsmittel (Carrageen, Guarkernmehl), Speisegelatine (Rind), Emulgator (E 472b), Aroma.
Sahnetopping mit Stickstoff aufgeschlagen.
 *Rainforest Alliance Certified. ",4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,,,,Greco Greek cream yoghurt 10%,€2.89,"GRECO Original Greek. Cream yoghurt 450g 10% , Routhier Mediterranean Products GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45174-greco-greco-griech-sahnejoghurt-10/,https://bilder.kolonial.no/local_products/fbb10639-ab82-47e3-a207-e8bd6206b6d6.jpg?auto=format&fit=max&w=311&s=1cc9d05871622d8bf5ca2bc70c1725fc,,,,,,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,450 Gramm,daily,,,,,,"Routhier Mediterranean Products GmbH, Finkenweg 2, 63674 Altenstadt, Deutschland",Griechenland,,,,,,,,,,,,,,,,,,0.01 g,6.80 g,,4.20 g,4.20 g,6.90 g,10 g,562 kJ / 135 kcal,"frische pasteurisierte KUHMILCH und SAHNE, lebende Joghurtkulturen. ",5 Tage,,,,,,,,,,,,,,,,,,,,,,,,,
614,,,,Ehrmann Grand Dessert Nougat,€0.99,"Finest nougat dessert cream with extra nougat cream - an absolute must for all nougat lovers! , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/50602-ehrmann-ehrmann-grand-dessert-nougat/,https://bilder.kolonial.no/local_products/93eee3a3-c3c0-4bff-a28f-01c0dd5d4544.jpg?auto=format&fit=max&w=944&s=8be77697026333428acf69d8e06cadbc,,,,190 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Straße 2, 87770 Oberschönegg, Deutschland",Deutschland,,,,,,,,,,,,,,,,"Entrahmte MILCH, SAHNE 20%, MOLKENERZEUGNIS, Glukose-Fruktose-Sirup, Zucker, modifizierte Stärke, Nussnougat 1,3% (HASELNÜSSE, Zucker, Kakaomasse, fettarmes Kakaopulver, Kakaopulver), fettarmes Kakaopulver, HASELNÜSSE 0,5%, VOLLMILCH, Verdickungsmittel (Carrageen, Guarkernmehl), Aroma (enthält MILCH und HASELNÜSSE), Speisegelatine (Rind), färbender Karamellzuckersirup, Emulgator (E472b), Salz. Sahnetopping mit Stickstoff aufgeschlagen. Kann Spuren von anderen SCHALENFRÜCHTEN enthalten. ",4 days,0.20 g,2.60 g,,14 g,14 g,4.20 g,4.20 g,489 kJ / 117 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,,,,Ehrmann Grand Dessert chocolate plus cream,€0.99,"Verführerischer Genuss für die besonderen Momente! Lehnen Sie sich zurück und lassen sich verführen von feinster Sahne und erlesener Dessertcrème. Einmalig köstlich, aber zum Glück in vielen leckeren Geschmacksrichtungen erhältlich. Unser Grand Dessert mit besten Zutaten im 190g Becher. , Ehrmann GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/28028-ehrmann-ehrmann-grand-dessert-schoko-plus-sahne/,https://bilder.kolonial.no/local_products/44ac635e-92b3-4b30-8afb-3793251c3b25.jpg?auto=format&fit=max&w=941&s=5e17eeb2b92fd1c8cf6f827999936132,,,,,,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,190 Gramm,daily,,,,,,"Ehrmann GmbH, A.-Ehrmann-Strasse 2, 87770 Oberschönegg, Germany",Deutschland,,,,,,,,,0.10g,2.70g,14g,17g,3.20g,5g,516kJ / 123kcal,,,,,,,,,,,"entrahmte MILCH, SAHNE 20%, MOLKENERZEUGNIS, Glukose-Fruktose-Sirup, Zucker, modifizierte Stärke, Schokolade 1,0% (Zucker, Kakaopulver*, Kakaobutter*), fettarmes Kakaopulver* 0,9%, fettarmes Arriba-Kakaopulver* 0,1%, Speisegelatine (Rind), Verdickungsmittel (Carrageen, Guarkernmehl), Emulgator (E 472b), Aroma.
Sahnetopping mit Stickstoff aufgeschlagen.
*Rainforest Alliance Certified. ",4 Tage,,,,,,,,,,,,,,,,,,,,,,,,,
616,,,,Minus L plain yoghurt 3.8%,€1.69,"Minus L natural yoghurt 3.8% 400 g tub , OBM OMIRA Bodenseemilch GmbH has provided the above information.",https://oda.com//de/products/45324-minus-l-minus-l-joghurt-natur-38/,https://bilder.kolonial.no/local_products/08bfee9e-c234-406e-a7e0-9e7893b49d66.jpg?auto=format&fit=max&w=721&s=39385afde5b85c95d028b4e60ff8e99a,,Germany,,400 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,"OBM OMIRA Bodenseemilch GmbH, Jahnstraße 10, 88214 Ravensburg, Germany",,,,,,,,,,,,,0.13g,4.30g,5.10g,5.10g,2.50g,3.80g,300kJ / 72kcal,"YOGURT  mild  
lactase ",6 days,,,,,,,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,
617,,,,Ehrmann Grand Dessert Double Toffee,€0.99,"Seductive pleasure for the special moments! Lean back and let yourself be seduced by the finest cream and exquisite dessert crème. Uniquely delicious, but thankfully available in many delicious flavors. Our grand dessert with the best ingredients in a 190g cup. , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/33680-ehrmann-ehrmann-grand-dessert-double-toffee/,https://bilder.kolonial.no/local_products/88fdb5c8-300f-4709-8fef-59a8a8194d2b.jpg?auto=format&fit=max&w=941&s=99a88eae89bf070ac1cbd05cd196dffa,,,,190 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Straße 2, 87770 Oberschönegg, Deutschland",Deutschland,,,,,,,,,0.18g,2.50g,14g,17g,2.90g,4.40g,494kJ / 118kcal,"entrahmte MILCH, SAHNE 20%, MOLKENERZEUGNIS, Zucker, modifizierte Stärke, Glukose-Fruktose-Sirup, Karamellzuckersirup, Toffee-Creme (Zucker, Wasser, MAGERMILCHPULVER, Glukosesirup), Verdickungsmittel (Carrageen, Guarkernmehl), Speisegelatine (Rind), Aroma, Emulgator (E 472b), VOLLMILCHPULVER, Salz, Farbstoff (Carotin).
Sahnetopping mit Stickstoff aufgeschlagen. ",3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,,,,Weihen.fresh yoghurt mild 3.5%,€1.39,"Enjoy the ""classic"" among natural yoghurts. Mild Weihenstephan Yoghurt. Extremely gentle, guaranteed without preservatives and made with the knowledge of a long tradition. With its wonderfully smooth and full-bodied, creamy consistency and its unadulterated, fresh and finely sour taste, it is a real treat, and not just on its own. It is also perfect for combining with aromatic herbs and spices in cold dishes. Whether in dips, salad dressings or sweet dishes - the increased fat content brings out the flavors particularly well. , Weihenstephan provided the above information.",https://oda.com//de/products/44736-weihenstephan-weihen-frischer-joghurt-mild-35/,https://bilder.kolonial.no/local_products/ffa6bec1-803e-4edd-9d17-ff1181a1aae2.jpg?auto=format&fit=max&w=739&s=ee06cdf72698246b32beb05f4d587671,,,,500 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,Weihenstephan,,,,,Germany,,,,,,,,0.10g,4.40g,5.10g,5.10g,3.50g,3.50g,303kJ / 72kcal,"YOGURT , mild (3.5%).   ",4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,,,,Ehrmann Grand Dessert Double Coffee,€0.99,"Seductive pleasure for the special moments! Lean back and let yourself be seduced by the finest cream and exquisite dessert crème. Uniquely delicious, but thankfully available in many delicious flavors. Our grand dessert with the best ingredients in a 190g cup. , Ehrmann GmbH has provided the above information.",https://oda.com//de/products/46067-ehrmann-ehrmann-grand-dessert-double-coffee/,https://bilder.kolonial.no/local_products/daf04563-147e-47fb-b3dd-3cb59c2b0590.jpg?auto=format&fit=max&w=941&s=09f30ec31626dac9b4f8f054b65c9888,,,,190 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,,,,"Ehrmann GmbH, A.-Ehrmann-Strasse 2, 87770 Oberschönegg, Germany",Deutschland,,,,,,,,,0.20g,2.60g,13g,16g,3g,4.60g,486kJ / 116kcal,"entrahmte MILCH, SAHNE 20%, MOLKENERZEUGNIS, Zucker, modifizierte Stärke, Glukose-Fruktose-Sirup, gemahlener Arabica-Röstkaffee 1%, Kaffee-Extrakt, Karamellzuckersirup, Karamell (Glukosesirup, Zucker, BUTTER, Wasser, Salz, SAHNE), Verdickungsmittel (Carrageen, Guarkern-mehl), Kakaopulver, Speisegelatine (Rind), Aroma, Emulgator (E 472b), Salz.
Topping mit Stickstoff aufgeschlagen. ",4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,,,,Weihen.Natural yoghurt 0.1% fat,€1.29,"Weihenstephan yoghurt 0.1% fat is particularly rich in proteins. Thanks to the combination of lots of protein and little fat, it's the perfect companion for sports lovers who value enjoyment. Weihenstephan yoghurt can be enjoyed pure, but can also be processed in no time at all with fruit and muesli for a fresh breakfast. Whether as a snack in between or as a balanced breakfast - enjoy yoghurt 0.1% fat, the perfect mix of little fat, lots of protein and full yoghurt enjoyment! , Weihenstephan provided the above information.",https://oda.com//de/products/45435-weihenstephan-weihen-joghurt-natur-01-fett/,https://bilder.kolonial.no/local_products/5ba0bf36-e235-4554-8c7b-491dda714932.jpg?auto=format&fit=max&w=739&s=c4d4e009e8b06b3567b08beadf38e0b0,,,,500 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,Weihenstephan,,,,,Germany,,,,,,,,0.20g,5.50g,6.90g,6.90g,0.10g,0.10g,227kJ / 54kcal,YOGURT . ,5 days,,,,,,,,,,,,,,,cooling productMust be stored between 0-4°C.,,,,,,,,,,,,,,,,,,,,
621,,,,Hellenic cream yoghurt Greek style,€1.69,"The mild yoghurt, made from skimmed milk and refined with dextrose, is ideal for anyone who eats consciously and does not want to forego quality and taste thanks to its low fat content. Perfectly balanced in taste, it is ideal for pure enjoyment or for refinement. Mild yoghurt is produced particularly gently and guaranteed without preservatives. , Weihenstephan provided the above information.",https://oda.com//de/products/46048-weihenstephan-weihen-sahnejoghurt-griech-art/,https://bilder.kolonial.no/local_products/09af94a6-d969-4a5a-9919-da6230abec09.jpg?auto=format&fit=max&w=739&s=1ae62166862fea8e487d0ba09749a272,,,,500 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,Weihenstephan,,,,,Germany,,,,,,,,0.10g,3.20g,3.70g,3.70g,10g,10g,499kJ / 119kcal,YOGURT . ,5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,,,,Holy.fresh yoghurt 1.5%,€1.39,"Every spoonful is a pleasure - thanks to the gentle manufacturing process, the low-fat mild yoghurt is so beautifully smooth and creamy. Fresh and full-bodied yogurt enjoyment in its purest form. , Weihenstephan provided the above information.",https://oda.com//de/products/44455-weihenstephan-weihen-frischer-joghurt-15/,https://bilder.kolonial.no/local_products/26476e9d-06e0-4f52-bfda-276ced31460a.jpg?auto=format&fit=max&w=739&s=7af47ba47a358f3fef0084900f2b386e,,,,500 grams,daily,"cheese, eggs and dairy products","Yoghurt, desserts & alternatives",oda,,,,,,,Weihenstephan,,,,,Germany,,,,,,,,0.19g,5.50g,6.90g,6.90g,1.50g,1.50g,277kJ / 66kcal,Yogurt.,5 days,,,,,,,,,,,,,,,cooling productMust be stored between 0-4°C.,,,,,,,,,,,,,,,,,,,,
